Taxon,Species,Genes,12S,16S,AMEL,BDNF,BMP2,CMOS,COI,CYTB,ND1,ND2,ND4,NT3,PDC,PRLR,R35,RAG1,RAG2
Sauria,Anomalopus gowi,4,KC575651,KC575638,,,,KC575664,,,,,KC575712,,,,,,
Sauria,Anomalopus leuckartii,4,HM852474,HM852501,,,,KC575665,,,,,DQ915342,,,,,,
Sauria,Anomalopus mackayi,3,AY169575,AY169612,,,,,,,,,AY169650,,,,,,
Sauria,Anomalopus pluto,3,KC575652,KC575639,,,,,,,,,KC575713,,,,,,
Sauria,Anomalopus swansoni,5,AY169576,AY169613,,HQ655159,,HQ655196,,,,,AY169651,,,,,,
Sauria,Anomalopus verreauxi,4,KC575653,KC575640,,,,KC575666,,,,,KC575714,,,,,,
Sauria,Anotosaura collaris,4,KF669555,KF669559,,,,KF669551,,,,,KF669565,,,,,,
Sauria,Anotosaura vanzolinia,4,KF669552,AF420724,,,,,,JN588655,,,KF669568,,,,,,
Sauria,Apathya cappadocica,6,GQ142076,GQ142099,,,,EF632268,KF003250,GQ142127,,,,,,,,EF632223,
Sauria,Apathya yassujica,3,,,,,,KF003239,KF003293,KF003353,,,,,,,,,
Sauria,Aphaniotis acutirostris,0,,,,,,,,,,,,,,,,,
Sauria,Aphaniotis fusca,4,AB023749,AB023771,,,,,,,AF128495,AF128495,,,,,,,
Sauria,Aphaniotis ornata,0,,,,,,,,,,,,,,,,,
Sauria,Aprasia aurita,3,,AY134500,,,,AY134536,,,,AY134572,,,,,,,
Sauria,Aprasia clairae,0,,,,,,,,,,,,,,,,,
Sauria,Aprasia haroldi,0,,,,,,,,,,,,,,,,,
Sauria,Aprasia inaurita,4,,AY134502,,,,FJ571646,,,,AY134574,,,,,,FJ571632,
Sauria,Aprasia litorea,0,,,,,,,,,,,,,,,,,
Sauria,Aprasia parapulchella,11,NC_024557,AY134503,,,,AY134539,NC_024557,NC_024557,NC_024557,GU459941,NC_024557,,HQ426172,,,HQ426260,HQ426433
Sauria,Aprasia picturata,3,,AY134504,,,,AY134540,,,,AY134576,,,,,,,
Sauria,Aprasia pseudopulchella,3,,AY134505,,,,AY134541,,,,AY134577,,,,,,,
Sauria,Aprasia pulchella,3,,AY134506,,,,AY134542,,,,AY134578,,,,,,,
Sauria,Aprasia repens,3,,AY134507,,,,AY134543,,,,AY134579,,,,,,,
Sauria,Aprasia rostrata,0,,,,,,,,,,,,,,,,,
Sauria,Aprasia smithi,3,,AY134508,,,,AY134544,,,,AY134580,,,,,,,
Sauria,Aprasia striolata,3,,AY134509,,,,AY134545,,,,AY134581,,,,,,,
Sauria,Archaeolacerta bedriagae,7,AF206592,AF206592,,,,EF632256,AF206553,GQ142126,,,FN667883,,,,,EF632211,
Sauria,Archaius tigris,7,,HQ130515,,KC507644,,HQ130539,,,,HQ130643,HQ130560,,,HQ130603,,HQ130624,
Sauria,Aristelliger barbouri,0,,,,,,,,,,,,,,,,,
Sauria,Aristelliger cochranae,0,,,,,,,,,,,,,,,,,
Sauria,Aristelliger expectatus,0,,,,,,,,,,,,,,,,,
Sauria,Aristelliger georgeensis,7,KC190934,KC190927,,,,KC191043,,,,JX041310,,,HQ426173,,,HQ426261,KC191141
Sauria,Aristelliger hechti,0,,,,,,,,,,,,,,,,,
Sauria,Aristelliger lar,5,,,,,,EF534931,,,,JX041311,,,EF534847,,,EF534805,EF534973
Sauria,Aristelliger praesignis,5,,,,,,HQ426520,,,,JX041312,,,HQ426175,,,HQ426263,HQ426436
Sauria,Aristelliger reyesi,0,,,,,,,,,,,,,,,,,
Sauria,Arthrosaura guianensis,2,,JQ742258,,,,,,,JQ742422,,,,,,,,
Sauria,Arthrosaura hoogmoedi,2,,JQ742257,,,,,,,JQ742421,,,,,,,,
Sauria,Arthrosaura kockii,7,AF420680,KC621325,,,,,,EU116503,JQ742280,,KC621624,EU108016,,,,EU108524,
Sauria,Arthrosaura montigena,0,,,,,,,,,,,,,,,,,
Sauria,Arthrosaura reticulata,3,AF420676,AF420722,,,,,,,,,AF420894,,,,,,
Sauria,Arthrosaura synaptolepis,0,,,,,,,,,,,,,,,,,
Sauria,Arthrosaura testigensis,0,,,,,,,,,,,,,,,,,
Sauria,Arthrosaura tyleri,0,,,,,,,,,,,,,,,,,
Sauria,Arthrosaura versteegii,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus andersoni,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus barani,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus caudivolvulus,2,,,,,,,,,,HM212519,,,,,,HM212507,
Sauria,Asaccus elisae,2,,,,,,,,,,HM212524,,,,,,HM212512,
Sauria,Asaccus gallagheri,2,,,,,,,,,,HM212525,,,,,,HM212516,
Sauria,Asaccus granularis,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus griseonotus,2,,,,,,,,,,HM212523,,,,,,HM212511,
Sauria,Asaccus iranicus,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus kermanshahensis,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus kurdistanensis,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus montanus,2,,,,,,,,,,HM212527,,,,,,HM212515,
Sauria,Asaccus nasrullahi,2,,,,,,,,,,HM212526,,,,,,HM212514,
Sauria,Asaccus platyrhynchus,5,,,,,,EU293670,,,,JX041313,,,EU293693,,,HM212517,EU293715
Sauria,Asaccus saffinae,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus tangestanensis,0,,,,,,,,,,,,,,,,,
Sauria,Asaccus zagrosicus,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis angusticeps,2,,,,,,,,KF555491,,,KF555526,,,,,,
Sauria,Aspidoscelis burti,2,AY046428,AY046470,,,,,,,,,,,,,,,
Sauria,Aspidoscelis calidipes,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis ceralbensis,1,,,,,,,,AF006293,,,,,,,,,
Sauria,Aspidoscelis communis,1,,HM012701,,,,,,,,,,,,,,,
Sauria,Aspidoscelis costata,2,AY046429,AY046471,,,,,,,,,,,,,,,
Sauria,Aspidoscelis cozumelae,2,,,,,,,,KF555506,,,KF555540,,,,,,
Sauria,Aspidoscelis danheimae,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis deppei,4,AY046431,AY046473,,,,,,AF006303,,,KF555555,,,,,,
Sauria,Aspidoscelis exsanguis,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis flagellicauda,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis gularis,3,AY046433,AY046475,,,,,,,,,AF026186,,,,,,
Sauria,Aspidoscelis guttata,3,AY046434,AY046476,,,,,,AF006302,,,,,,,,,
Sauria,Aspidoscelis hyperythra,3,AY046435,AY046477,,,,,,AF006290,,,,,,,,,
Sauria,Aspidoscelis inornata,3,AY046436,AY046478,,,,,,,,,AF026174,,,,,,
Sauria,Aspidoscelis labialis,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis laredoensis,1,,,,,,,,,,,AF026196,,,,,,
Sauria,Aspidoscelis lineattissima,1,,HM012703,,,,,,,,,,,,,,,
Sauria,Aspidoscelis marmorata,2,AY046449,AY046491,,,,,,,,,,,,,,,
Sauria,Aspidoscelis maslini,2,,,,,,,,KF555496,,,KF555533,,,,,,
Sauria,Aspidoscelis maxima,3,AF206585,AF206585,,,,,AF206559,,,,,,,,,,
Sauria,Aspidoscelis mexicana,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis motaguae,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis neomexicana,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis neotesselata,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis opatae,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis pai,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis parvisocia,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis picta,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis rodecki,2,,,,,,,,KF555494,,,KF555522,,,,,,
Sauria,Aspidoscelis sackii,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis scalaris,2,AY046442,AY046484,,,,,,,,,,,,,,,
Sauria,Aspidoscelis sexlineata,4,AF236047,AY046486,,,,,,,,GQ374461,AF026176,,,,,,
Sauria,Aspidoscelis sonorae,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis stictogramma,2,AY046446,AY046488,,,,,,,,,,,,,,,
Sauria,Aspidoscelis tesselata,0,,,,,,,,,,,,,,,,,
Sauria,Aspidoscelis tigris,15,AY046447,AY046489,,HM160580,EU402674,AF039481,,AF006277,U71332,U71332,AF026172,EU390903,HQ426250,HQ130585,HQ876349,AY662620,HQ426512
Sauria,Aspidoscelis uniparens,1,,,,,,,,S71826,,,,,,,,,
Sauria,Aspidoscelis velox,6,,KC621326,,,,EU116675,,EU116504,,,KC621494,EU108017,,,,EU108525,
Sauria,Aspidoscelis xanthonota,0,,,,,,,,,,,,,,,,,
Sauria,Aspronema cochabambae,2,AF202625,AF202630,,,,,,,,,,,,,,,
Sauria,Aspronema dorsivittatum,4,DQ239230,JQ627287,,,,DQ238957,,DQ239176,,,,,,,,,
Sauria,Asymblepharus alaicus,0,,,,,,,,,,,,,,,,,
Sauria,Asymblepharus eremchenkoi,0,,,,,,,,,,,,,,,,,
Sauria,Asymblepharus himalayanus,2,KF514643,KF514648,,,,,,,,,,,,,,,
Sauria,Asymblepharus ladacensis,0,,,,,,,,,,,,,,,,,
Sauria,Asymblepharus mahabharatus,0,,,,,,,,,,,,,,,,,
Sauria,Asymblepharus nepalensis,0,,,,,,,,,,,,,,,,,
Sauria,Asymblepharus sikimmensis,0,,,,,,,,,,,,,,,,,
Sauria,Asymblepharus tragbulense,0,,,,,,,,,,,,,,,,,
Sauria,Ateuchosaurus chinensis,0,,,,,,,,,,,,,,,,,
Sauria,Ateuchosaurus pellopleurus,3,AY818756,,,,,AY818790,,FJ972226,,,,,,,,,
Sauria,Atlantolacerta andreanskyi,10,AF206603,AF206603,,,,GQ142144,AF206579,GQ142117,,,JX462147,,JX461679,JX963017,,HQ616538,JX963055
Sauria,Aurivela longicauda,3,AY046439,AY046481,,,,KC109630,,,,,,,,,,,
Sauria,Aurivela tergolaevigata,0,,,,,,,,,,,,,,,,,
Sauria,Australolacerta australis,9,FR751396,FR751396,,,,JX962923,,JX962940,,DQ871094,HF547725,,,JX963009,,JX963030,JX963047
Sauria,Bachia barbouri,3,DQ383205,DQ383216,,,,DQ383193,,,,,,,,,,,
Sauria,Bachia bicolor,2,,DQ383217,,,,DQ383194,,,,,,,,,,,
Sauria,Bachia bresslaui,3,,AF420755,,,,AF420860,,,,,AF420876,,,,,,
Sauria,Bachia cacerensis,0,,,,,,,,,,,,,,,,,
Sauria,Bachia didactyla,0,,,,,,,,,,,,,,,,,
Sauria,Bachia dorbignyi,3,AF420688,AF420754,,,,,,,,,AF420892,,,,,,
Sauria,Bachia flavescens,5,AF420705,AF420753,,,,AF420859,,,JQ742282,,AF420869,,,,,,
Sauria,Bachia geralista,0,,,,,,,,,,,,,,,,,
Sauria,Bachia guianensis,0,,,,,,,,,,,,,,,,,
Sauria,Bachia heteropa,3,DQ383210,DQ383222,,,,DQ383199,,,,,,,,,,,
Sauria,Bachia huallagana,3,DQ383212,DQ383224,,,,DQ383201,,,,,,,,,,,
Sauria,Bachia intermedia,3,DQ383204,DQ383215,,,,DQ383192,,,,,,,,,,,
Sauria,Bachia micromela,0,,,,,,,,,,,,,,,,,
Sauria,Bachia oxyrhina,0,,,,,,,,,,,,,,,,,
Sauria,Bachia pallidiceps,0,,,,,,,,,,,,,,,,,
Sauria,Bachia panoplia,3,DQ383207,DQ383219,,,,DQ383196,,,,,,,,,,,
Sauria,Bachia peruana,3,DQ383206,DQ383218,,,,DQ383195,,,,,,,,,,,
Sauria,Bachia psamophila,0,,,,,,,,,,,,,,,,,
Sauria,Bachia pyburni,0,,,,,,,,,,,,,,,,,
Sauria,Bachia scaea,3,KC597258,KC597262,,,,KC597265,,,,,,,,,,,
Sauria,Bachia scolecoides,3,DQ383211,DQ383223,,,,DQ383200,,,,,,,,,,,
Sauria,Bachia talpa,0,,,,,,,,,,,,,,,,,
Sauria,Bachia trisanale,3,DQ383209,DQ383221,,,,DQ383198,,,,,,,,,,,
Sauria,Barisia ciliaris,0,,,,,,,,,,,,,,,,,
Sauria,Barisia herrerae,1,,,,,,,,,,,AY605120,,,,,,
Sauria,Barisia imbricata,8,AF056612,,,JQ845037,JQ844990,,,AF056597,AF085613,AF085613,JN547361,JQ844944,,,,,
Sauria,Barisia levicollis,2,,,,,,,,,,AY742922,JN885299,,,,,,
Sauria,Barisia rudicollis,1,,,,,,,,,,,AY605121,,,,,,
Sauria,Barkudia insularis,0,,,,,,,,,,,,,,,,,
Sauria,Barkudia melanosticta,0,,,,,,,,,,,,,,,,,
Sauria,Basiliscus basiliscus,7,AF338330,,,JF806017,JF806053,,,,,,,JF804532,,JN880809,HQ876326,JF806202,
Sauria,Basiliscus galeritus,3,,,,,,,,,AF528714,AF528714,,,,,,FJ356743,
Sauria,Basiliscus plumifrons,7,,,,HM160581,,AY987986,,,U82680,U82680,,AY987998,,,HM161055,AY662599,
Sauria,Basiliscus vittatus,7,NC_012829,NC_012829,,,,,AB218883,NC_012829,AF528715,AF528715,AB218883,,,,,,
Sauria,Bassiana duperreyi,6,AY818752,,,,,AY818784,,AY818822,,GU811932,GU811975,,,KM263438,,,
Sauria,Bassiana platynota,2,,,,,,,,,,GU811959,GU812043,,,,,,
Sauria,Bassiana trilineata,4,,,,HQ655161,,HQ655198,,,,GU811974,GU812067,,,,,,
Sauria,Bavayia crassicollis,2,,,,,,,,,,JX024366,,,,,,JX024466,
Sauria,Bavayia cyclura,6,,AF215246,,,,HQ426521,,,,JX024367,,,HQ426176,,,HQ426264,HQ426437
Sauria,Bavayia exsuccida,2,,,,,,,,,,JX024368,,,,,,JX024468,
Sauria,Bavayia geitaina,5,,,,,,JQ945532,,,,JX024369,,,JQ945353,,,JQ945285,JQ945424
Sauria,Bavayia goroensis,1,,,,,,,,,,,,,,,,JX024470,
Sauria,Bavayia montana,2,,,,,,,,,,DQ533738,,,,,,JX024471,
Sauria,Bavayia nubila,1,,,,,,,,,,JN117918,,,,,,,
Sauria,Bavayia ornata,2,,,,,,,,,,DQ533737,,,,,,JX024472,
Sauria,Bavayia pulchella,2,,,,,,,,,,DQ533739,,,,,,JX024473,
Sauria,Bavayia robusta,2,,,,,,,,,,JX024372,,,,,,JX024474,
Sauria,Bavayia sauvagii,3,,,,,,FJ855468,,,,JX024373,,,,,,FJ855448,
Sauria,Bavayia septuiclavis,3,,,,,,AY172920,,,,JX024374,,,,,,JX024476,
Sauria,Bellatorias frerei,3,AY308339,AY308190,,,,,,,,,AF530264,,,,,,
Sauria,Bellatorias major,4,,AY520496,,HQ655162,,HQ655199,,,,,AY520464,,,,,,
Sauria,Bellatorias obiri,0,,,,,,,,,,,,,,,,,
Sauria,Blaesodactylus ambonihazo,3,,,,,,,,,,KM580362,JN015014,,,,,JN015039,
Sauria,Blaesodactylus antongilensis,8,,,,JQ073117,,JQ945534,JQ909268,,,EU054254,JN015030,,EU054206,,,JQ073238,JQ945426
Sauria,Blaesodactylus boivini,8,EU596607,,,EU596841,,,JQ909269,EU596691,,EU054252,JN015016,,EU054204,,,EU054228,
Sauria,Blaesodactylus sakalava,4,,,,,,,,,,EU054251,JN015025,,EU054203,,,EU054227,
Sauria,Brachylophus bulabula,0,,,,,,,,,,,,,,,,,
Sauria,Brachylophus fasciatus,10,,,,JF806018,JF806054,AY987993,,AF020257,AF528721,AF528721,U66238,AY988009,,,JF804579,AY988026,
Sauria,Brachylophus vitiensis,1,,,,,,,,AF459041,,,,,,,,,
Sauria,Brachymeles apus,4,,,,HQ907234,,,,,HQ907332,HQ907434,,,,,HQ907641,,
Sauria,Brachymeles bicolandia,2,,,,,,,,,JN981985,JN981997,,,,,,,
Sauria,Brachymeles bicolor,7,AY818761,,,HQ907281,,AY818797,,FJ972227,HQ907379,HQ907481,,,,,HQ907689,,
Sauria,Brachymeles boholensis,4,,,,HQ907284,,,,,HQ907382,HQ907484,,,,,HQ907692,,
Sauria,Brachymeles bonitae,5,,,,HM160583,,,,,HM160774,HQ907449,,,,,HQ907727,HM161152,
Sauria,Brachymeles boulengeri,4,,,,HQ907257,,,,,HQ907355,HQ907455,,,,,HQ907665,,
Sauria,Brachymeles brevidactylus,2,,,,,,,,,JN981987,JN981999,,,,,,,
Sauria,Brachymeles cebuensis,4,,,,HQ907316,,,,,HQ907412,HQ907516,,,,,HQ907724,,
Sauria,Brachymeles cobos,2,,,,,,,,,JN981988,JN982000,,,,,,,
Sauria,Brachymeles elerae,4,,,,HQ907275,,,,,HQ907373,HQ907475,,,,,HQ907683,,
Sauria,Brachymeles gracilis,10,AY649103,AY649143,,JN654795,JN654816,,,,JX069898,JN700170,,JN568322,,JN880813,JN568499,JN654856,
Sauria,Brachymeles hilong,4,,,,JX069887,,,,,HQ907386,HQ907488,,,,,HQ907696,,
Sauria,Brachymeles kadwa,0,,,,,,,,,,,,,,,,,
Sauria,Brachymeles libayani,2,,,,,,,,,JN981981,JN981993,,,,,,,
Sauria,Brachymeles lukbani,4,,,,HQ907313,,,,,HQ907409,HQ907513,,,,,HQ907721,,
Sauria,Brachymeles makusog,4,,,,HQ907299,,,,,HQ907395,HQ907499,,,,,HQ907707,,
Sauria,Brachymeles mindorensis,4,,,,HQ907255,,,,,HQ907352,HQ907454,,,,,HQ907662,,
Sauria,Brachymeles minimus,4,,,,HQ907310,,,,,HQ907406,HQ907508,,,,,HQ907718,,
Sauria,Brachymeles miriamae,4,,,,HQ907236,,,,,HQ907334,HQ907436,,,,,HQ907643,,
Sauria,Brachymeles muntingkamay,4,,,,HQ907278,,,,,HQ907376,HQ907478,,,,,HQ907686,,
Sauria,Brachymeles orientalis,0,,,,,,,,,,,,,,,,,
Sauria,Brachymeles paeforum,0,,,,,,,,,,,,,,,,,
Sauria,Brachymeles pathfinderi,4,,,,JX069890,,,,,HQ907389,HQ907491,,,,,HQ907699,,
Sauria,Brachymeles samad,3,,,,JX069881,,,,,JX069894,JX069909,,,,,,,
Sauria,Brachymeles samarensis,4,,,,HQ907323,,,,,HQ907419,HQ907451,,,,,HQ907731,,
Sauria,Brachymeles schadenbergi,4,,,,HQ907307,,,,,HQ907403,HQ907507,,,,,HQ907715,,
Sauria,Brachymeles suluensis,0,,,,,,,,,,,,,,,,,
Sauria,Brachymeles talinis,6,AY649104,AY308180,,HQ907266,,,,,HQ907364,HQ907466,,,,,HQ907674,,
Sauria,Brachymeles taylori,4,,,,HQ907261,,,,,HQ907359,HQ907461,,,,,HQ907669,,
Sauria,Brachymeles tiboliorum,3,,,,JX069880,,,,,JX069892,JX069907,,,,,,,
Sauria,Brachymeles tridactylus,4,,,,HQ907239,,,,,HQ907337,HQ907439,,,,,HQ907646,,
Sauria,Brachymeles tungaoi,0,,,,,,,,,,,,,,,,,
Sauria,Brachymeles vermis,0,,,,,,,,,,,,,,,,,
Sauria,Brachymeles vindumi,0,,,,,,,,,,,,,,,,,
Sauria,Brachymeles vulcani,3,,,,JX069882,,,,,JX069895,JX069910,,,,,,,
Sauria,Brachymeles wrighti,0,,,,,,,,,,,,,,,,,
Sauria,Brachysaura minor,0,,,,,,,,,,,,,,,,,
Sauria,Bradypodion atromontanum,6,,AY649401,,,,HF570625,,,,AY649392,HF570521,,,HF570790,,HF570721,
Sauria,Bradypodion caeruleogula,6,,EU877674,,,,HF570626,,,,EU877685,HF570522,,,HF570791,,HF570722,
Sauria,Bradypodion caffer,6,,EU268206,,,,HF570627,,,,AY289864,HF570523,,,HF570792,,HF570723,
Sauria,Bradypodion damaranum,7,,AY289805,,JQ073092,,HF570628,,,,AY289861,HF570524,,,HQ130606,,JQ073213,
Sauria,Bradypodion dracomontanum,4,,HF570394,,,,,,,,EU268197,,,,HF570793,,HF570725,
Sauria,Bradypodion gutturale,6,,AY289857,,,,HF570629,,,,AY289887,HF570525,,,HF570794,,HF570726,
Sauria,Bradypodion kentanicum,6,,DQ234633,,,,HF570630,,,,DQ234624,HF570526,,,HF570795,,HF570727,
Sauria,Bradypodion melanocephalum,6,,EU268208,,,,HF570631,,,,AY289881,HF570527,,,HF570796,,HF570728,
Sauria,Bradypodion nemorale,6,,EU877680,,,,HF570632,,,,DQ234628,HF570528,,,HF570797,,HF570729,
Sauria,Bradypodion ngomeense,6,,EU877684,,,,HF570633,,,,AY289876,HF570529,,,HF570798,,HF570730,
Sauria,Bradypodion occidentale,8,,HQ130519,,KC507645,,FJ984260,,,AF448728,AF448728,FJ981756,,,HQ130605,,FJ984189,
Sauria,Bradypodion pumilum,8,,AY289845,,KC507646,,HQ130540,,,AF448729,AF448729,AF443237,,,HF570799,,HF570731,
Sauria,Bradypodion setaroi,5,,AY289821,,,,,,,,DQ234627,HF570530,,,HF570800,,HF570732,
Sauria,Bradypodion taeniabronchum,5,,AY289828,,,,,,,,AY289884,HF570531,,,HF570801,,HF570733,
Sauria,Bradypodion thamnobates,6,,EU268210,,,,HF570634,,,,AY289871,HF570532,,,HF570802,,HF570734,
Sauria,Bradypodion transvaalense,7,,EU268211,,,,HF570635,,,AF448731,AF448731,HF570533,,,HF570803,,HF570735,
Sauria,Bradypodion ventrale,7,,DQ234635,,,,HF570636,,,AF448732,AF448732,HF570534,,,HF570804,,HF570736,
Sauria,Brasiliscincus agilis,4,DQ239207,AF549179,,,,DQ238995,,EU443102,,,,,,,,,
Sauria,Brasiliscincus caissara,2,AF548787,AF549176,,,,,,,,,,,,,,,
Sauria,Brasiliscincus heathi,4,DQ239232,AF549174,,,,DQ238989,,DQ239170,,,,,,,,,
Sauria,Broadleysaurus major,11,AJ416921,AJ416922,,HM160588,,EU366459,,DQ090881,HM160779,KF717422,,EU636222,,KF717465,HM161062,HM161157,
Sauria,Bronchocela celebensis,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela cristatella,4,EU502968,EU503023,,,,,,,AF128497,AF128497,,,,,,,
Sauria,Bronchocela danieli,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela hayeki,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela jubata,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela marmorata,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela orlovi,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela rubrigularis,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela smaragdina,0,,,,,,,,,,,,,,,,,
Sauria,Bronchocela vietnamensis,0,,,,,,,,,,,,,,,,,
Sauria,Brookesia ambreensis,8,,HF570397,,,,FJ984313,JQ909272,,FJ975197,FJ975197,AF443238,,,HF570805,,FJ984243,
Sauria,Brookesia antakarana,8,,HF570398,,,,FJ984312,JQ909273,,FJ975196,FJ975196,AF443249,,,HF570806,,FJ984240,
Sauria,Brookesia bekolosy,0,,,,,,,,,,,,,,,,,
Sauria,Brookesia betschi,8,,HF570399,,,,FJ984296,JQ909274,,FJ975180,FJ975180,AF443242,,,HF570807,,FJ984225,
Sauria,Brookesia bonsi,1,,,,,,,,,,,AF443248,,,,,,
Sauria,Brookesia brunoi,1,,,,,,,,,,JX101753,,,,,,,
Sauria,Brookesia brygooi,12,,JN674044,,JF806004,JF806038,FJ984306,JQ909275,,AF448774,AF448774,AF443247,JF804534,,JN880814,JF804580,FJ984236,
Sauria,Brookesia confidens,4,,JN674045,,,,JN674057,,,,JN673981,,,,,,JN674060,
Sauria,Brookesia decaryi,10,NC_014174,NC_014174,,,,FJ984307,JQ909276,NC_014174,FJ975192,FJ975192,AB474914,,,HQ130593,,FJ984238,
Sauria,Brookesia dentata,6,,JN674046,,,,FJ984289,,,,FJ975174,FJ981778,,,HF570809,,FJ984218,
Sauria,Brookesia desperata,5,,JN674047,,,,JN674058,,,,JN674003,,,,HF570818,,JN674061,
Sauria,Brookesia ebenaui,8,,HF570402,,,,FJ984299,JQ909277,,FJ975184,FJ975184,FJ981789,,,HF570810,,FJ984229,
Sauria,Brookesia exarmata,8,,JN674048,,,,FJ984291,JQ909278,,FJ975176,FJ975176,FJ981780,,,HF570811,,FJ984220,
Sauria,Brookesia griveaudi,8,,HF570403,,,,FJ984321,JQ909279,,FJ975203,FJ975203,FJ981814,,,HF570812,,FJ984251,
Sauria,Brookesia karchei,8,,JN674049,,,,FJ984285,JQ909280,,FJ975170,FJ975170,FJ981772,,,HF570813,,FJ984213,
Sauria,Brookesia lambertoni,0,,,,,,,,,,,,,,,,,
Sauria,Brookesia lineata,7,,HF570404,,,,FJ984322,JQ909281,,,FJ975206,AF443241,,,HF570814,,FJ984252,
Sauria,Brookesia micra,6,,JN674050,,,,JN674059,,,,JN674022,HF570538,,,HF570820,,JN674062,
Sauria,Brookesia minima,9,,JN674051,,KC507647,,FJ984280,JQ909282,,FJ975165,FJ975165,AF443245,,,HQ130592,,FJ984209,
Sauria,Brookesia perarmata,8,,HF570405,,,,FJ984309,JQ909284,,AF448776,AF448776,FJ981803,,,HF570815,,FJ984239,
Sauria,Brookesia peyrierasi,9,AF215137,AF121954,,,,FJ984287,JQ909285,,AF448777,AF448777,FJ981774,,,HF570816,,FJ984215,
Sauria,Brookesia ramanantsoai,8,,JN674053,,,,FJ984288,JQ909286,,FJ975173,FJ975173,FJ981777,,,HF570817,,FJ984217,
Sauria,Brookesia stumpffi,8,,HF570409,,,,FJ984318,JQ909294,,FJ975202,FJ975202,FJ981810,,,HF570821,,FJ984248,
Sauria,Brookesia superciliaris,12,GQ921686,HQ130513,,KC507649,,FJ984303,JQ909296,EF222187,AF448778,AF448778,EF222187,,GQ921710,HQ130594,,FJ984232,
Sauria,Brookesia therezieni,10,GQ921673,HF570410,,,,FJ984301,JQ909297,,AF448779,AF448779,AF443239,,GQ921716,HF570822,,FJ984231,
Sauria,Brookesia thieli,9,,HF570411,,JQ073089,,FJ984294,JQ909298,,AF448780,AF448780,AF443246,,,HF570823,,AY662577,
Sauria,Brookesia tristis,6,,JN674055,,,,FJ984283,,,FJ975168,FJ975168,FJ981770,,,,,FJ984211,
Sauria,Brookesia tuberculata,8,,JN674056,,,,FJ984281,JQ909299,,AF448781,AF448781,FJ981769,,,HF570824,,FJ984210,
Sauria,Brookesia vadoni,8,,HF570413,,,,FJ984297,JQ909300,,FJ975182,FJ975182,FJ981788,,,HF570825,,FJ984227,
Sauria,Brookesia valerieae,1,,,,,,,,,,,AF443243,,,,,,
Sauria,Bufoniceps laungwalaensis,2,,,,,,,,,DQ008214,DQ008214,,,,,,,
Sauria,Bunopus blanfordii,0,,,,,,,,,,,,,,,,,
Sauria,Bunopus crassicauda,2,EU589154,,,,,,,EU589177,,,,,,,,,
Sauria,Bunopus spatalurus,0,,,,,,,,,,,,,,,,,
Sauria,Bunopus tuberculatus,8,EU589158,,,HQ443613,,JQ945535,,EU589183,,HQ443540,,,JQ945355,,,JQ945287,JQ945427
Sauria,Caledoniscincus aquilonius,3,,,,,,DQ675399,,,,DQ675194,,,,,,KF130814,
Sauria,Caledoniscincus atropunctatus,3,,,,,,DQ675401,,,,DQ675196,,,,,,DQ675275,
Sauria,Caledoniscincus auratus,3,,,,,,DQ675402,,,,DQ675197,,,,,,DQ675277,
Sauria,Caledoniscincus austrocaledonicus,9,EU567931,EU567922,,HQ655163,,HQ655200,KC349617,EU567835,,EU567727,EU567766,,,,,EU568024,
Sauria,Caledoniscincus chazeaui,1,,,,,,,,,,DQ675272,,,,,,,
Sauria,Caledoniscincus constellatus,1,,,,,,,,,,JQ743847,,,,,,,
