Taxon,Family,Subfamily,Scientific Name,Genes,12S,16S,BDNF,CXCR4,cytb,H3A,NCX1,ND1,ND2,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Anura,Dendrobatidae,Dendrobatinae,Allobates crombiei,1,,KF250509,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates femoralis,13,EU342537,DQ502117,HQ290591,,DQ502678,DQ284074,HQ290711,HQ290951,HQ290951,HQ290831,DQ503327,DQ283774,DQ282657,,DQ503156
Anura,Dendrobatidae,Dendrobatinae,Allobates flaviventris,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates fratisenescus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates fuscellus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates gasconi,3,DQ502209,DQ502053,,,DQ502644,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates goianus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates granti,3,,JN690931,,,,,,,,,JX298193,,,,JN691577
Anura,Dendrobatidae,Dendrobatinae,Allobates grillisimilis,1,,KF250507,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates hodli,2,,JQ436705,,,JF690061,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates humilis,1,,AJ430673,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates ignotus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates insperatus,9,HQ290959,HQ290959,HQ290599,,HQ290539,,HQ290719,HQ290959,HQ290959,HQ290839,,,,,HQ290899
Anura,Dendrobatidae,Dendrobatinae,Allobates juanii,11,EU342540,DQ502271,HQ290600,,DQ502702,DQ502401,HQ290720,,HQ290962,HQ290840,DQ503403,DQ503277,,,HQ290900
Anura,Dendrobatidae,Dendrobatinae,Allobates kingsburyi,9,HQ290963,HQ290963,HQ290601,,HQ290541,,HQ290721,HQ290963,HQ290963,HQ290841,,,,,HQ290901
Anura,Dendrobatidae,Dendrobatinae,Allobates mandelorum,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates marchesianus,3,AF128584,EU342546,,,AF128585,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates masniger,1,,JQ966889,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates mcdiarmidi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates melanolaemus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates myersi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates nidicola,7,DQ502210,DQ502101,,,DQ502533,DQ502353,,,,,DQ503352,DQ503219,DQ503081,,
Anura,Dendrobatidae,Dendrobatinae,Allobates niputidea,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates olfersioides,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates ornatus,2,EU342549,EU342550,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates paleovarzensis,1,,JQ966852,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates peruvianus,2,EU342524,EU342524,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates picachos,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates pittieri,1,,EU380806,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates sanmartini,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates subfolionidificans,1,,KF250493,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates sumtuosus,1,,KF250496,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates talamancae,13,AY843577,AY843577,HQ290612,,AY843799,DQ502364,HQ290732,HQ290974,HQ290974,HQ290852,DQ503363,DQ503250,AY844778,,HQ290912
Anura,Dendrobatidae,Dendrobatinae,Allobates trilineatus,9,DQ501998,DQ502118,,,DQ502550,DQ502287,,AY819469,,AY819088,DQ503290,DQ503176,DQ503040,,
Anura,Dendrobatidae,Dendrobatinae,Allobates undulatus,7,DQ502029,DQ502029,,,DQ502460,DQ284073,,,,,DQ503308,DQ283773,DQ282656,,
Anura,Dendrobatidae,Dendrobatinae,Allobates vanzolinius,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates wayuu,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Allobates zaparo,13,EU342531,DQ502026,HQ290640,,DQ502455,DQ502301,HQ290760,HQ291003,HQ291003,HQ290880,DQ503305,DQ503192,DQ503055,,HQ290940
Anura,Dendrobatidae,Dendrobatinae,Ameerega altamazonica,3,EU517662,EU517666,,,EU517677,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega andina,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega bassleri,3,FJ752367,EU342610,,,FJ752317,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega berohoka,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega bilinguis,12,AY364571,AY364571,HQ290633,,DQ523144,DQ502326,HQ290753,HQ290996,HQ290996,HQ290873,,DQ503216,DQ503078,,DQ503157
Anura,Dendrobatidae,Dendrobatinae,Ameerega boliviana,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega braccata,8,DQ502125,DQ502125,,,DQ502556,DQ502341,,,,,DQ503341,DQ503231,DQ503092,,DQ503161
Anura,Dendrobatidae,Dendrobatinae,Ameerega cainarachi,3,EU342620,EU342621,,,DQ523123,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega erythromos,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega flavopicta,8,DQ502124,DQ502124,,,DQ502555,DQ502340,,,,,DQ503340,DQ503230,DQ503091,,DQ503160
Anura,Dendrobatidae,Dendrobatinae,Ameerega hahneli,12,EU342622,AY364573,HQ290635,,DQ523151,DQ502400,HQ290755,HQ290998,HQ290998,HQ290875,,DQ503183,DQ503044,,DQ503174
Anura,Dendrobatidae,Dendrobatinae,Ameerega ignipedis,3,FJ752371,FJ752295,,,FJ752336,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega ingeri,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega labialis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega macero,6,DQ502155,DQ502155,,,EU525853,DQ502358,,,,,,,DQ503108,,DQ503167
Anura,Dendrobatidae,Dendrobatinae,Ameerega maculata,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega parvula,9,AY364574,AY364574,HQ290636,,HQ290576,,HQ290756,HQ290999,HQ290999,HQ290876,,,,,HQ290936
Anura,Dendrobatidae,Dendrobatinae,Ameerega pepperi,3,FJ752364,FJ752288,,,FJ752332,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega peruviridis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega petersi,8,FJ752380,DQ502116,,,FJ752348,DQ502335,,,,,DQ503335,DQ503225,DQ503087,,DQ503159
Anura,Dendrobatidae,Dendrobatinae,Ameerega picta,4,EU342617,EU342616,,,DQ502684,DQ502387,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega planipaleae,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega pongoensis,3,FJ752382,DQ523044,,,FJ752350,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega pulchripecta,8,DQ502033,DQ502033,,,DQ502464,DQ502303,,,,,DQ503309,DQ503194,DQ503057,,DQ503147
Anura,Dendrobatidae,Dendrobatinae,Ameerega rubriventris,3,EU342623,EU342623,,,EU517673,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega silverstonei,7,DQ283073,DQ283073,,,DQ523154,DQ284116,,,,,,DQ283798,DQ282663,,DQ503165
Anura,Dendrobatidae,Dendrobatinae,Ameerega simulans,3,DQ523020,DQ523090,,,DQ523160,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega smaragdina,3,DQ522971,DQ523042,,,DQ523112,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega trivittata,13,EU342634,EU342633,HQ290639,,DQ523147,DQ502397,HQ290759,HQ291002,HQ291002,HQ290879,DQ503324,DQ503273,DQ503053,,DQ503173
Anura,Dendrobatidae,Dendrobatinae,Ameerega yoshina,3,FJ752355,FJ752279,,,FJ752323,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Ameerega yungicola,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates abditus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates altobueyensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates bombetes,7,EU342669,EU342669,HQ290618,,JN635880,,,HQ290981,HQ290981,,,,,,HQ290918
Anura,Dendrobatidae,Dendrobatinae,Andinobates cassidyhornae,2,,JX879715,,,JX879725,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates claudiae,11,EU342671,DQ502024,HQ290620,,DQ502457,DQ284071,,HQ290983,HQ290983,,EU325921,DQ283772,DQ282654,,HQ290920
Anura,Dendrobatidae,Dendrobatinae,Andinobates daleswansoni,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates dorisswansonae,2,,JN635863,,,JQ936630,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates fulguritus,8,DQ502106,DQ502106,,,DQ502538,DQ502332,,,,,DQ503333,DQ503222,DQ503084,,DQ503158
Anura,Dendrobatidae,Dendrobatinae,Andinobates minutus,7,DQ502168,DQ502168,,,U70163,DQ502366,,,,,DQ503365,DQ503251,DQ503116,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates opisthomelas,2,,JX879708,,,JX879718,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates tolimensis,2,,JN635859,,,JQ936632,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates viridis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Andinobates virolinensis,7,EU342667,EU342667,HQ290631,,JQ936628,,,HQ290994,HQ290994,,,,,,HQ290931
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus astralogaster,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus atopoglossus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus ayarzaguenai,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus baeobatrachus,8,DQ501983,DQ501983,,,DQ502408,DQ502276,,JQ742303,,,DQ503281,,DQ503037,,JN691713
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus beebei,9,DQ502130,DQ502130,,,DQ502561,DQ502346,,JQ742287,,,DQ503342,DQ503233,DQ503094,,JN691804
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus breweri,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus confusus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus degranvillei,8,DQ502257,DQ502257,,,DQ502689,DQ502297,,,,,DQ503300,DQ503188,DQ503051,,JN691797
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus guanayensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus isthminus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus kaiei,4,JN690449,JN691121,,,,,,JQ742301,,,,,,,JN691807
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus lacrimosus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus leopardus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus moffetti,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus murisipanensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus parimae,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus parkerae,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus praderioi,7,DQ502256,DQ502256,,,DQ502687,DQ502390,,JQ742286,,,DQ503392,,DQ503137,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus roraima,8,DQ502260,DQ502260,,,DQ502692,DQ502393,,JQ742290,,,DQ503395,DQ503269,DQ503138,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus rufulus,1,,JQ742101,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus shrevei,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus stepheni,8,DQ502108,DQ502108,,,DQ502540,DQ502333,,,,,DQ503334,DQ503223,DQ503085,,JN691731
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus surinamensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus tamacuarensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus tepuyensis,8,DQ502128,DQ502128,,,DQ502559,DQ502344,,,,,DQ503343,DQ503234,DQ503095,,DQ503162
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus triunfo,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus verbeeksnyderorum,6,HQ290952,HQ290952,HQ290592,,HQ290532,,,HQ290952,HQ290952,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Anomaloglossus wothuja,2,,JQ742103,,,,,,JQ742284,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates alboguttatus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates cannatellai,4,JX035995,JX035995,,,,,JX036002,,,JX036008,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates capurinensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates duranti,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates ericksonae,4,JX035993,JX035994,,,,,JX036001,,,JX036007,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates haydeeae,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates inflexus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates leopardalis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates mayorgai,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates meridensis,4,JX035992,JX035992,,,,,JX036000,,,JX036006,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates molinarii,2,AY263216,AJ430678,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates nocturnus,6,DQ502154,DQ502156,,,DQ502592,DQ502359,,,,,,DQ503243,DQ503107,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates ornatissimus,2,JN584174,JN584174,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates orostoma,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates saltuensis,12,DQ502274,DQ502274,HQ290608,,DQ502705,DQ502404,HQ290728,HQ290970,HQ290970,HQ290848,DQ503406,DQ503280,,,HQ290908
Anura,Dendrobatidae,Dendrobatinae,Aromobates serranus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates tokuko,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates walterarpi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Aromobates zippeli,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus agilis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus alacris,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus argyrogaster,2,EU342606,EU342606,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus brachistriatus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus dunni,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus dysprosium,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus fraterdanieli,6,EU342604,EU342604,,,DQ502615,DQ502375,,,,,DQ503375,DQ503256,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus fugax,9,AY364547,AY364547,HQ290598,,HQ290538,,HQ290718,HQ290958,HQ290958,HQ290838,,,,,HQ290898
Anura,Dendrobatidae,Dendrobatinae,Colostethus furviventris,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus imbricolus,5,DQ502178,DQ502178,,,DQ502614,,,,,,DQ503374,,DQ503122,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus inguinalis,5,EU342600,EU342601,,,DQ502696,DQ502395,,,,,DQ503398,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus jacobuspetersi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus latinasus,2,EU342592,EU342593,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus lynchi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus mertensi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus panamansis,12,EU342599,EU342599,HQ290606,,DQ502608,DQ502370,HQ290726,HQ290968,HQ290968,HQ290846,DQ503368,,DQ503117,,HQ290906
Anura,Dendrobatidae,Dendrobatinae,Colostethus poecilonotus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus pratti,13,EU342595,EU342595,HQ290607,,DQ502609,DQ502371,HQ290727,HQ290969,HQ290969,HQ290847,DQ503369,DQ503254,DQ503112,,HQ290907
Anura,Dendrobatidae,Dendrobatinae,Colostethus ramirezi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus ruthveni,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus thorntoni,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus ucumari,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Colostethus yaguara,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Dendrobates auratus,15,DQ347026,AY364565,HQ290617,AY364184,AY843803,DQ284072,AY948823,JX564862,JX564862,HQ290857,EU325909,AY364395,AY844781,AY948879,DQ347160
Anura,Dendrobatidae,Dendrobatinae,Dendrobates leucomelas,13,EU342648,EU342648,HQ290624,,AF120010,DQ502354,HQ290744,HQ290987,HQ290987,HQ290864,EU325923,DQ503242,DQ503103,,HQ290924
Anura,Dendrobatidae,Dendrobatinae,Dendrobates nubeculosus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Dendrobates tinctorius,13,EU342649,EU342649,HQ290628,,EF646759,DQ502384,HQ290748,HQ290991,HQ290991,HQ290868,DQ503339,DQ503229,DQ503090,,HQ290928
Anura,Dendrobatidae,Dendrobatinae,Dendrobates truncatus,13,EU342652,EU342653,HQ290629,,DQ502699,DQ502399,HQ290749,HQ290992,HQ290992,HQ290869,DQ503402,DQ503252,DQ503118,,HQ290929
Anura,Dendrobatidae,Dendrobatinae,Epipedobates anthonyi,12,EU342574,EU342574,HQ290632,,AF128547,DQ502355,HQ290752,HQ290995,HQ290995,HQ290872,DQ503354,,DQ503104,,HQ290932
Anura,Dendrobatidae,Dendrobatinae,Epipedobates boulengeri,13,EU342570,EU342570,HQ290634,,AF128556,DQ284063,HQ290754,HQ290997,HQ290997,HQ290874,DQ503301,DQ283768,DQ282653,,DQ282902
Anura,Dendrobatidae,Dendrobatinae,Epipedobates darwinwallacei,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Epipedobates espinosai,3,EU342571,EU342571,,,DQ502594,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Epipedobates machalilla,13,EU342576,EU342576,HQ290602,,DQ502443,DQ502278,HQ290722,HQ290964,HQ290964,HQ290842,DQ503283,DQ503175,DQ503039,,HQ290902
Anura,Dendrobatidae,Dendrobatinae,Epipedobates narinensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Epipedobates tricolor,12,AY364576,EU342578,HQ290638,EF107458,AF128550,,EF107233,HQ291001,HQ291001,HQ290878,EF107295,,,EF107381,HQ290938
Anura,Dendrobatidae,Dendrobatinae,Excidobates captivus,7,EU325898,EU342666,HQ290619,,EU325902 ,,,HQ290982,HQ290982,,EU325914,,,,
Anura,Dendrobatidae,Dendrobatinae,Excidobates condor,2,JX657839,JX657839,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Excidobates mysteriosus,4,JN635803,JN635866,,,JN635931,,,,,,EU325908,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus abditaurantius,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus aeruginosus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus anthracinus,2,EU342708,EU342708,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus awa,9,EU342745,EU342745,HQ290594,,HQ290534,,HQ290714,HQ290954,HQ290954,HQ290834,,,,,HQ290894
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus azureiventris,9,EU342729,EU342729,HQ290615,,AF324040,,HQ290735,HQ290977,HQ290978,HQ290855,,,,,HQ290915
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus betancuri,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus bocagei,13,AY364545,AY364545,HQ290595,,DQ502628,DQ502308,HQ290715,HQ290955,HQ290955,HQ290835,DQ503314,DQ503199,DQ503062,,HQ290895
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus borjai,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus breviquartus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus cevallosi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus chlorocraspedus,8,EU342730,EU342730,,,DQ502511,DQ502378,,,,,DQ503325,DQ503210,DQ503072,,DQ503153
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus chocoensis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus craspedoceps,2,EU342726,EU342727,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus delatorreae,7,EU342719,EU342719,,,DQ502409,DQ502277,,,,,DQ503282,,DQ503038,,DQ503140
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus edwardsi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus elachyhistus,13,EU342740,DQ502002,HQ290596,,DQ502428,DQ502289,HQ290716,HQ290956,HQ290956,HQ290836,DQ503292,DQ503181,DQ503046,,HQ290896
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus eleutherodactylus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus exasperatus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus excisus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus faciopunctulatus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus fallax,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus fascianigrus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus fuliginosus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus idiomelus,7,EU342732,EU342731,,,DQ502437,DQ502294,,,,,DQ503297,DQ503179,DQ503043,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus infraguttatus,2,EU342741,EU342741,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus insulatus,5,EU342735,EU342734,,,DQ502436,DQ502293,,,,,DQ503296,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus italoi,2,HQ286387,HQ286387,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus lehmanni,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus leucophaeus,3,EU342689,EU342689,,,HQ286372,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus littoralis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus maculosus,9,EU342705,EU342705,HQ290610,,HQ290550,,HQ290730,HQ290972,HQ290972,HQ290850,,,,,HQ290910
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus maquipucuna,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus marmoreoventris,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus mittermeieri,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus mystax,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus nexipus,13,EU342714,EU342714,HQ290603,,DQ502442,DQ502280,HQ290723,HQ290965,HQ290965,AY819089,DQ503285,DQ503177,DQ503041,,HQ290903
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus parcus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus patitae,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus peculiaris,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus pinguis,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus pulchellus,2,EU342722,EU342720,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus pulcherrimus,7,EU342707,EU342707,,,DQ502430,DQ502290,,,,,DQ503293,DQ503186,,,DQ503143
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus pumilus,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus ramosi,0,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobatinae,Hyloxalus ranoides,2,EU342692,EU342692,,,,,,,,,,,,,
