Taxon,Family,Subfamily,Scientific Name,Genes,12S,16S,BDNF,CXCR4,cytb,H3A,NCX1,ND1,ND2,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Anura,Alytidae,Discoglossinae,Latonia nigriventer,6,KC867711,KC867710,,,KC867706,KC867709,,,,,KC867707,KC867708,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis adelphus,2,FJ151141,FJ151141,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis adolfifriederici,3,JF836941,JF836995,,,,,,,,,,JF837043,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis affinis,2,FJ151155,FJ151154,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis anotis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis aureoli,2,FJ151118,EF640990,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis bioko,2,HM238196,FJ151053,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis bivittatus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis brevipes,2,FJ151107,FJ151107,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis carquejai,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis crusculum,1,,JN408732,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis discodactylus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis fichika,2,FJ188697,FJ188697,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis formosus,1,,JN408729,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis francei,2,FJ151101,FJ151101,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis hematogaster,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis kidogo,2,FJ188699,FJ188700,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis krokosua,1,,EU350211,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis kutogundua,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis lameerei,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis langeri,1,,GU119909,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis lonnbergi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis loveridgei,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis mossoensis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis nguruensis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis nikeae,2,FJ151160,FJ151160,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis nimbaensis,1,,JN408734,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis nlonakoensis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis palava,2,HM238195,FJ151150,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis perreti,2,FJ151139,FJ151139,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis phrynoides,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis poecilonotus,4,FJ151114,FJ151119,,,JX564853,,,JX564853,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis pyrrhoscelis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis reichei,2,FJ151161,FJ151161,,,,,,,,,,,,,
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis schubotzi,6,DQ347006,FJ151116,,,,DQ284264,,,,,DQ347238,DQ283910,,,DQ347140
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis spinalis,0,,,,,,,,,,,,,,,
