"","Taxon","Family","Subfamily","Clade","Constraint","Scientific.Name","Data","Genes","Length"
"Allophryne_relicta","Anura","Allophrynidae","Allophryninae","Allophryninae_1","Allophryne","Allophryne relicta",1,2,2297
"Allophryne_resplendens","Anura","Allophrynidae","Allophryninae","Allophryninae_2","Allophryne","Allophryne resplendens",1,2,1999
"Allophryne_ruthveni","Anura","Allophrynidae","Allophryninae","Allophryninae_3","Allophryne","Allophryne ruthveni",1,12,7032
"Alsodes_australis","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes australis",1,1,304
"Alsodes_barrioi","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes barrioi",1,7,4741
"Alsodes_coppingeri","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes coppingeri",1,7,4740
"Alsodes_gargola","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes gargola",1,9,6027
"Alsodes_hugoi","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes hugoi",1,6,4410
"Alsodes_igneus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes igneus",1,7,4740
"Alsodes_kaweshkari","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes kaweshkari",1,1,304
"Alsodes_montanus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes montanus",0,0,0
"Alsodes_monticola","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes monticola",1,2,1160
"Alsodes_neuquensis","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes neuquensis",1,5,3873
"Alsodes_nodosus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes nodosus",1,6,2865
"Alsodes_norae","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes norae",1,6,4412
"Alsodes_pehuenche","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes pehuenche",1,7,5335
"Alsodes_tumultuosus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes tumultuosus",1,7,3298
"Alsodes_valdiviensis","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes valdiviensis",1,7,4740
"Alsodes_vanzolinii","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes vanzolinii",1,6,3725
"Alsodes_verrucosus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes verrucosus",1,7,5358
"Alsodes_vittatus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes vittatus",0,0,0
"Eupsophus_altor","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus altor",1,6,4185
"Eupsophus_calcaratus","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus calcaratus",1,12,8496
"Eupsophus_contulmoensis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus contulmoensis",1,6,4316
"Eupsophus_emiliopugini","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus emiliopugini",1,7,4844
"Eupsophus_insularis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus insularis",1,6,4318
"Eupsophus_migueli","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus migueli",1,6,4318
"Eupsophus_nahuelbutensis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus nahuelbutensis",1,7,4725
"Eupsophus_roseus","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus roseus",1,7,4862
"Eupsophus_septentrionalis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus septentrionalis",1,5,3383
"Eupsophus_vertebralis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus vertebralis",1,6,4315
"Limnomedusa_macroglossa","Anura","Alsodidae","Alsodinae","Alsodinae","Limnomedusa","Limnomedusa macroglossa",1,9,5343
"Alytes_cisternasii","Anura","Alytidae","Alytinae","Alytinae_1","Alytes","Alytes cisternasii",1,3,1196
"Alytes_dickhilleni","Anura","Alytidae","Alytinae","Alytinae_2","Alytes","Alytes dickhilleni",1,9,4822
"Alytes_maurus","Anura","Alytidae","Alytinae","Alytinae_3","Alytes","Alytes maurus",1,4,1520
"Alytes_muletensis","Anura","Alytidae","Alytinae","Alytinae_4","Alytes","Alytes muletensis",1,7,4786
"Alytes_obstetricans","Anura","Alytidae","Alytinae","Alytinae_5","Alytes","Alytes obstetricans",1,14,10557
"Discoglossus_galganoi","Anura","Alytidae","Discoglossinae","Discoglossinae_1","Discoglossus","Discoglossus galganoi",1,10,7038
"Discoglossus_montalentii","Anura","Alytidae","Discoglossinae","Discoglossinae_2","Discoglossus","Discoglossus montalentii",1,9,5630
"Discoglossus_pictus","Anura","Alytidae","Discoglossinae","Discoglossinae_3","Discoglossus","Discoglossus pictus",1,13,8573
"Discoglossus_sardus","Anura","Alytidae","Discoglossinae","Discoglossinae_4","Discoglossus","Discoglossus sardus",1,10,6637
"Discoglossus_scovazzi","Anura","Alytidae","Discoglossinae","Discoglossinae_5","Discoglossus","Discoglossus scovazzi",1,10,7386
"Latonia_nigriventer","Anura","Alytidae","Discoglossinae","Discoglossinae_6","Latonia","Latonia nigriventer",1,6,2556
"Arthroleptis_adelphus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis adelphus",1,2,2176
"Arthroleptis_adolfifriederici","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis adolfifriederici",1,3,1185
"Arthroleptis_affinis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis affinis",1,2,1755
"Arthroleptis_anotis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis anotis",0,0,0
"Arthroleptis_aureoli","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis aureoli",1,2,929
"Arthroleptis_bioko","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis bioko",1,2,2119
"Arthroleptis_bivittatus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis bivittatus",0,0,0
"Arthroleptis_brevipes","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis brevipes",1,2,2068
"Arthroleptis_carquejai","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis carquejai",0,0,0
"Arthroleptis_crusculum","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis crusculum",1,1,376
"Arthroleptis_discodactylus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis discodactylus",0,0,0
"Arthroleptis_fichika","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis fichika",1,2,1650
"Arthroleptis_formosus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis formosus",1,1,377
"Arthroleptis_francei","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis francei",1,2,2170
"Arthroleptis_hematogaster","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis hematogaster",0,0,0
"Arthroleptis_kidogo","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis kidogo",1,2,1152
"Arthroleptis_krokosua","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis krokosua",1,1,523
"Arthroleptis_kutogundua","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis kutogundua",0,0,0
"Arthroleptis_lameerei","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis lameerei",0,0,0
"Arthroleptis_langeri","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis langeri",1,1,530
"Arthroleptis_lonnbergi","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis lonnbergi",0,0,0
"Arthroleptis_loveridgei","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis loveridgei",0,0,0
"Arthroleptis_mossoensis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis mossoensis",0,0,0
"Arthroleptis_nguruensis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis nguruensis",0,0,0
"Arthroleptis_nikeae","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis nikeae",1,2,1735
"Arthroleptis_nimbaensis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis nimbaensis",1,1,376
"Arthroleptis_nlonakoensis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis nlonakoensis",0,0,0
"Arthroleptis_palava","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis palava",1,2,1698
"Arthroleptis_perreti","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis perreti",1,2,1950
"Arthroleptis_phrynoides","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis phrynoides",0,0,0
"Arthroleptis_poecilonotus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis poecilonotus",1,4,3510
"Arthroleptis_pyrrhoscelis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis pyrrhoscelis",0,0,0
"Arthroleptis_reichei","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis reichei",1,2,1722
"Arthroleptis_schubotzi","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis schubotzi",1,6,3395
"Arthroleptis_spinalis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis spinalis",0,0,0
"Arthroleptis_stenodactylus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis stenodactylus",1,2,1366
"Arthroleptis_stridens","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis stridens",0,0,0
"Arthroleptis_sylvaticus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis sylvaticus",1,6,2453
"Arthroleptis_taeniatus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis taeniatus",1,5,2934
"Arthroleptis_tanneri","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis tanneri",1,6,3545
"Arthroleptis_troglodytes","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis troglodytes",0,0,0
"Arthroleptis_tuberosus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis tuberosus",0,0,0
"Arthroleptis_variabilis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis variabilis",1,12,9451
"Arthroleptis_vercammeni","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis vercammeni",0,0,0
"Arthroleptis_wahlbergii","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis wahlbergii",1,2,1797
"Arthroleptis_xenochirus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis xenochirus",0,0,0
"Arthroleptis_xenodactyloides","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis xenodactyloides",1,6,4059
"Arthroleptis_xenodactylus","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis xenodactylus",1,2,2169
"Arthroleptis_zimmeri","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Arthroleptis","Arthroleptis zimmeri",0,0,0
"Cardioglossa_alsco","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa alsco",0,0,0
"Cardioglossa_cyaneospila","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa cyaneospila",0,0,0
"Cardioglossa_elegans","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa elegans",1,2,2244
"Cardioglossa_escalerae","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa escalerae",0,0,0
"Cardioglossa_gracilis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa gracilis",1,2,866
"Cardioglossa_gratiosa","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa gratiosa",1,5,2811
"Cardioglossa_leucomystax","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa leucomystax",1,7,4505
"Cardioglossa_manengouba","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa manengouba",1,2,2236
"Cardioglossa_melanogaster","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa melanogaster",1,2,927
"Cardioglossa_nigromaculata","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa nigromaculata",0,0,0
"Cardioglossa_occidentalis","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa occidentalis",1,2,2158
"Cardioglossa_oreas","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa oreas",1,2,2186
"Cardioglossa_pulchra","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa pulchra",1,2,2204
"Cardioglossa_schioetzi","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa schioetzi",1,2,2002
"Cardioglossa_trifasciata","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa trifasciata",0,0,0
"Cardioglossa_venusta","Anura","Arthroleptidae","Arthroleptinae","Arthroleptinae","Cardioglossa","Cardioglossa venusta",0,0,0
"Astylosternus_batesi","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus batesi",1,2,2269
"Astylosternus_diadematus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus diadematus",1,5,2769
"Astylosternus_fallax","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus fallax",0,0,0
"Astylosternus_laticephalus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus laticephalus",1,1,528
"Astylosternus_laurenti","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus laurenti",0,0,0
"Astylosternus_montanus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus montanus",0,0,0
"Astylosternus_nganhanus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus nganhanus",0,0,0
"Astylosternus_occidentalis","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus occidentalis",1,1,540
"Astylosternus_perreti","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus perreti",0,0,0
"Astylosternus_ranoides","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus ranoides",0,0,0
"Astylosternus_rheophilus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus rheophilus",0,0,0
"Astylosternus_schioetzi","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Astylosternus","Astylosternus schioetzi",1,7,3434
"Leptodactylodon_albiventris","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon albiventris",0,0,0
"Leptodactylodon_axillaris","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon axillaris",1,1,662
"Leptodactylodon_bicolor","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon bicolor",1,5,3457
"Leptodactylodon_blanci","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon blanci",0,0,0
"Leptodactylodon_boulengeri","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon boulengeri",0,0,0
"Leptodactylodon_bueanus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon bueanus",0,0,0
"Leptodactylodon_erythrogaster","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon erythrogaster",0,0,0
"Leptodactylodon_mertensi","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon mertensi",0,0,0
"Leptodactylodon_ornatus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon ornatus",0,0,0
"Leptodactylodon_ovatus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon ovatus",0,0,0
"Leptodactylodon_perreti","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon perreti",1,1,663
"Leptodactylodon_polyacanthus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon polyacanthus",0,0,0
"Leptodactylodon_stevarti","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon stevarti",0,0,0
"Leptodactylodon_ventrimarmoratus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon ventrimarmoratus",0,0,0
"Leptodactylodon_wildi","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Leptodactylodon","Leptodactylodon wildi",0,0,0
"Nyctibates_corrugatus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Nyctibates","Nyctibates corrugatus",1,5,2044
"Scotobleps_gabonicus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Scotobleps","Scotobleps gabonicus",1,6,3350
"Trichobatrachus_robustus","Anura","Arthroleptidae","Astylosterninae","Astylosterninae","Trichobatrachus","Trichobatrachus robustus",1,15,11929
"Leptopelis_anchietae","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis anchietae",0,0,0
"Leptopelis_argenteus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis argenteus",1,4,2447
"Leptopelis_aubryi","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis aubryi",0,0,0
"Leptopelis_aubryioides","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis aubryioides",0,0,0
"Leptopelis_barbouri","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis barbouri",1,3,1831
"Leptopelis_bequaerti","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis bequaerti",0,0,0
"Leptopelis_bocagii","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis bocagii",1,3,2793
"Leptopelis_boulengeri","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis boulengeri",0,0,0
"Leptopelis_brevipes","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis brevipes",0,0,0
"Leptopelis_brevirostris","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis brevirostris",1,1,497
"Leptopelis_broadleyi","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis broadleyi",0,0,0
"Leptopelis_bufonides","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis bufonides",0,0,0
"Leptopelis_calcaratus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis calcaratus",1,1,789
"Leptopelis_christyi","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis christyi",0,0,0
"Leptopelis_concolor","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis concolor",1,1,458
"Leptopelis_crystallinoron","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis crystallinoron",0,0,0
"Leptopelis_cynnamomeus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis cynnamomeus",0,0,0
"Leptopelis_fenestratus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis fenestratus",0,0,0
"Leptopelis_fiziensis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis fiziensis",1,2,1174
"Leptopelis_flavomaculatus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis flavomaculatus",0,0,0
"Leptopelis_gramineus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis gramineus",0,0,0
"Leptopelis_jordani","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis jordani",0,0,0
"Leptopelis_karissimbensis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis karissimbensis",1,3,1865
"Leptopelis_kivuensis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis kivuensis",1,11,8538
"Leptopelis_lebeaui","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis lebeaui",0,0,0
"Leptopelis_mackayi","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis mackayi",0,0,0
"Leptopelis_macrotis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis macrotis",0,0,0
"Leptopelis_marginatus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis marginatus",0,0,0
"Leptopelis_millsoni","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis millsoni",1,1,561
"Leptopelis_modestus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis modestus",1,3,1259
"Leptopelis_mossambicus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis mossambicus",0,0,0
"Leptopelis_natalensis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis natalensis",1,7,4963
"Leptopelis_nordequatorialis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis nordequatorialis",0,0,0
"Leptopelis_notatus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis notatus",0,0,0
"Leptopelis_occidentalis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis occidentalis",0,0,0
"Leptopelis_ocellatus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis ocellatus",0,0,0
"Leptopelis_oryi","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis oryi",0,0,0
"Leptopelis_palmatus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis palmatus",1,2,1807
"Leptopelis_parbocagii","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis parbocagii",0,0,0
"Leptopelis_parkeri","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis parkeri",0,0,0
"Leptopelis_parvus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis parvus",0,0,0
"Leptopelis_ragazzii","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis ragazzii",0,0,0
"Leptopelis_rufus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis rufus",0,0,0
"Leptopelis_spiritusnoctis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis spiritusnoctis",0,0,0
"Leptopelis_susanae","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis susanae",0,0,0
"Leptopelis_uluguruensis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis uluguruensis",0,0,0
"Leptopelis_vannutellii","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis vannutellii",0,0,0
"Leptopelis_vermiculatus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis vermiculatus",1,6,4053
"Leptopelis_viridis","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis viridis",0,0,0
"Leptopelis_xenodactylus","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis xenodactylus",0,0,0
"Leptopelis_yaldeni","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis yaldeni",0,0,0
"Leptopelis_zebra","Anura","Arthroleptidae","Leptopelinae","Leptopelinae","Leptopelis","Leptopelis zebra",0,0,0
"Ascaphus_montanus","Anura","Ascaphidae","Ascaphinae","Ascaphinae_1","Ascaphus","Ascaphus montanus",1,7,6547
"Ascaphus_truei","Anura","Ascaphidae","Ascaphinae","Ascaphinae_2","Ascaphus","Ascaphus truei",1,13,10768
"Atelognathus_ceii","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus ceii",0,0,0
"Atelognathus_jeinimenensis","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus jeinimenensis",1,2,840
"Atelognathus_nitoi","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus nitoi",0,0,0
"Atelognathus_patagonicus","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus patagonicus",1,7,4352
"Atelognathus_praebasalticus","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus praebasalticus",0,0,0
"Atelognathus_reverberii","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus reverberii",0,0,0
"Atelognathus_salai","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus salai",0,0,0
"Atelognathus_solitarius","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Atelognathus","Atelognathus solitarius",0,0,0
"Batrachyla_antartandica","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Batrachyla","Batrachyla antartandica",1,2,853
"Batrachyla_fitzroya","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Batrachyla","Batrachyla fitzroya",0,0,0
"Batrachyla_leptopus","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Batrachyla","Batrachyla leptopus",1,9,5603
"Batrachyla_nibaldoi","Anura","Batrachylidae","Batrachylinae","Batrachylinae","Batrachyla","Batrachyla nibaldoi",0,0,0
