"","Taxon","Family","Subfamily","Clade","Tree.Genus","Constraint","Scientific.Name","Genes","Length"
"Amphisbaena_absaberi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena absaberi",NA,NA
"Amphisbaena_acrobeles","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena acrobeles",NA,NA
"Amphisbaena_alba","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena alba",7,5203
"Amphisbaena_albocingulata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena albocingulata",NA,NA
"Amphisbaena_amazonica","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena amazonica",NA,NA
"Amphisbaena_anaemariae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena anaemariae",5,3135
"Amphisbaena_angustifrons","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena angustifrons",5,3139
"Amphisbaena_anomala","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena anomala",5,3136
"Amphisbaena_arda","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena arda",NA,NA
"Amphisbaena_arenaria","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena arenaria",NA,NA
"Amphisbaena_bahiana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bahiana",NA,NA
"Amphisbaena_bakeri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bakeri",2,2229
"Amphisbaena_barbouri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena barbouri",2,2218
"Amphisbaena_bassleri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bassleri",NA,NA
"Amphisbaena_bedai","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bedai",NA,NA
"Amphisbaena_bilabialatus","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bilabialatus",NA,NA
"Amphisbaena_bolivica","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bolivica",5,3101
"Amphisbaena_borelli","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena borelli",NA,NA
"Amphisbaena_brasiliana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena brasiliana",5,3137
"Amphisbaena_brevis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena brevis",NA,NA
"Amphisbaena_caeca","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena caeca",6,4851
"Amphisbaena_caiari","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena caiari",5,2843
"Amphisbaena_camura","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena camura",5,3352
"Amphisbaena_carlgansi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena carlgansi",2,2194
"Amphisbaena_carli","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena carli",NA,NA
"Amphisbaena_carvalhoi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena carvalhoi",NA,NA
"Amphisbaena_caudalis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena caudalis",NA,NA
"Amphisbaena_cayemite","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cayemite",NA,NA
"Amphisbaena_cegei","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cegei",NA,NA
"Amphisbaena_cerradensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cerradensis",NA,NA
"Amphisbaena_crisae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena crisae",NA,NA
"Amphisbaena_cubana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cubana",9,6143
"Amphisbaena_cuiabana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cuiabana",5,3140
"Amphisbaena_cunhai","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cunhai",5,3139
"Amphisbaena_darwini","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena darwini",5,3137
"Amphisbaena_dubia","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena dubia",NA,NA
"Amphisbaena_fenestrata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena fenestrata",2,2175
"Amphisbaena_frontalis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena frontalis",NA,NA
"Amphisbaena_fuliginosa","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena fuliginosa",9,5888
"Amphisbaena_gonavensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena gonavensis",NA,NA
"Amphisbaena_gracilis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena gracilis",NA,NA
"Amphisbaena_hastata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena hastata",5,3137
"Amphisbaena_heathi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena heathi",NA,NA
"Amphisbaena_heterozonata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena heterozonata",NA,NA
"Amphisbaena_hiata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena hiata",NA,NA
"Amphisbaena_hogei","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena hogei",NA,NA
"Amphisbaena_hyporissor","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena hyporissor",2,2224
"Amphisbaena_ibijara","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena ibijara",NA,NA
"Amphisbaena_ignatiana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena ignatiana",5,3138
"Amphisbaena_infraorbitale","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena infraorbitale",5,3136
"Amphisbaena_innocens","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena innocens",2,2235
"Amphisbaena_kingii","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena kingii",5,3136
"Amphisbaena_kisteumacheri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena kisteumacheri",NA,NA
"Amphisbaena_kraoh","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena kraoh",5,3144
"Amphisbaena_leali","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena leali",2,2199
"Amphisbaena_leeseri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena leeseri",5,3133
"Amphisbaena_leucocephala","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena leucocephala",NA,NA
"Amphisbaena_littoralis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena littoralis",NA,NA
"Amphisbaena_lumbricalis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena lumbricalis",NA,NA
"Amphisbaena_manni","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena manni",2,2227
"Amphisbaena_maranhensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena maranhensis",NA,NA
"Amphisbaena_maximus","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena maximus",NA,NA
"Amphisbaena_medemi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena medemi",NA,NA
"Amphisbaena_mensae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena mensae",NA,NA
"Amphisbaena_mertensii","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena mertensii",5,3146
"Amphisbaena_microcephalum","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena microcephalum",5,3025
"Amphisbaena_miringoera","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena miringoera",NA,NA
"Amphisbaena_mitchelli","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena mitchelli",NA,NA
"Amphisbaena_munoai","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena munoai",5,3136
"Amphisbaena_myersi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena myersi",NA,NA
"Amphisbaena_neglecta","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena neglecta",NA,NA
"Amphisbaena_nigricauda","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena nigricauda",NA,NA
"Amphisbaena_occidentalis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena occidentalis",NA,NA
"Amphisbaena_octostegum","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena octostegum",NA,NA
"Amphisbaena_pericensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena pericensis",NA,NA
"Amphisbaena_persephone","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena persephone",NA,NA
"Amphisbaena_plumbea","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena plumbea",NA,NA
"Amphisbaena_polygrammica","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena polygrammica",NA,NA
"Amphisbaena_polystegum","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena polystegum",5,3138
"Amphisbaena_pretrei","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena pretrei",NA,NA
"Amphisbaena_prunicolor","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena prunicolor",NA,NA
"Amphisbaena_ridleyi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena ridleyi",NA,NA
"Amphisbaena_roberti","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena roberti",5,3146
"Amphisbaena_rozei","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena rozei",NA,NA
"Amphisbaena_sanctaeritae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena sanctaeritae",NA,NA
"Amphisbaena_saxosa","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena saxosa",5,3143
"Amphisbaena_schmidti","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena schmidti",10,9743
"Amphisbaena_scutigerum","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena scutigerum",NA,NA
"Amphisbaena_silvestrii","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena silvestrii",5,3135
"Amphisbaena_slateri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena slateri",NA,NA
"Amphisbaena_slevini","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena slevini",NA,NA
"Amphisbaena_spurelli","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena spurelli",NA,NA
"Amphisbaena_steindachneri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena steindachneri",NA,NA
"Amphisbaena_stejnegeri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena stejnegeri",NA,NA
"Amphisbaena_supernumeraria","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena supernumeraria",NA,NA
"Amphisbaena_talisiae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena talisiae",NA,NA
"Amphisbaena_townsendi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena townsendi",NA,NA
"Amphisbaena_trachura","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena trachura",NA,NA
"Amphisbaena_tragorrhectes","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena tragorrhectes",NA,NA
"Amphisbaena_uroxena","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena uroxena",NA,NA
"Amphisbaena_vanzolinii","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena vanzolinii",NA,NA
"Amphisbaena_varia","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena varia",NA,NA
"Amphisbaena_vermicularis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena vermicularis",5,3145
"Amphisbaena_wiedi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena wiedi",NA,NA
"Amphisbaena_wuchereri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena wuchereri",NA,NA
"Amphisbaena_xera","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena xera",6,6443
"Ancylocranium_barkeri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Ancylocranium","Ancylocranium","Ancylocranium barkeri",NA,NA
"Ancylocranium_ionidesi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Ancylocranium","Ancylocranium","Ancylocranium ionidesi",NA,NA
"Ancylocranium_somalicum","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Ancylocranium","Ancylocranium","Ancylocranium somalicum",NA,NA
"Baikia_africana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Baikia","Baikia","Baikia africana",NA,NA
"Chirindia_ewerbecki","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Chirindia","Chirindia","Chirindia ewerbecki",NA,NA
"Chirindia_langi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Chirindia","Chirindia","Chirindia langi",NA,NA
"Chirindia_mpwapwaensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Chirindia","Chirindia","Chirindia mpwapwaensis",NA,NA
"Chirindia_rondoensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Chirindia","Chirindia","Chirindia rondoensis",NA,NA
"Chirindia_swynnertoni","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Chirindia","Chirindia","Chirindia swynnertoni",4,1841
"Cynisca_bifrontalis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca bifrontalis",NA,NA
"Cynisca_degrysi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca degrysi",NA,NA
"Cynisca_feae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca feae",NA,NA
"Cynisca_gansi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca gansi",NA,NA
"Cynisca_haugi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca haugi",NA,NA
"Cynisca_kigomensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca kigomensis",NA,NA
"Cynisca_kraussi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca kraussi",3,1536
"Cynisca_leonina","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca leonina",NA,NA
"Cynisca_leucura","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca leucura",2,813
"Cynisca_liberiensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca liberiensis",NA,NA
"Cynisca_muelleri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca muelleri",NA,NA
"Cynisca_nigeriensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca nigeriensis",NA,NA
"Cynisca_oligopholis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca oligopholis",NA,NA
"Cynisca_rouxae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca rouxae",NA,NA
"Cynisca_schaeferi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca schaeferi",NA,NA
"Cynisca_senegalensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca senegalensis",NA,NA
"Cynisca_williamsi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Cynisca","Cynisca","Cynisca williamsi",NA,NA
"Dalophia_angolensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Dalophia","Dalophia","Dalophia angolensis",NA,NA
"Dalophia_ellenbergeri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Dalophia","Dalophia","Dalophia ellenbergeri",4,2170
"Dalophia_gigantea","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Dalophia","Dalophia","Dalophia gigantea",NA,NA
"Dalophia_longicauda","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Dalophia","Dalophia","Dalophia longicauda",NA,NA
"Dalophia_luluae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Dalophia","Dalophia","Dalophia luluae",NA,NA
"Dalophia_pistillum","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Dalophia","Dalophia","Dalophia pistillum",4,2113
"Geocalamus_acutus","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Geocalamus","Geocalamus","Geocalamus acutus",14,12459
"Geocalamus_modestus","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Geocalamus","Geocalamus","Geocalamus modestus",NA,NA
"Loveridgea_ionidesii","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Loveridgea","Loveridgea","Loveridgea ionidesii",NA,NA
"Loveridgea_phylofiniens","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Loveridgea","Loveridgea","Loveridgea phylofiniens",NA,NA
"Mesobaena_huebneri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Mesobaena","Mesobaena","Mesobaena huebneri",NA,NA
"Mesobaena_rhachicephala","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Mesobaena","Mesobaena","Mesobaena rhachicephala",NA,NA
"Monopeltis_adercae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis adercae",NA,NA
"Monopeltis_anchietae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis anchietae",NA,NA
"Monopeltis_capensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis capensis",4,1842
"Monopeltis_decosteri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis decosteri",NA,NA
"Monopeltis_galeata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis galeata",NA,NA
"Monopeltis_guentheri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis guentheri",NA,NA
"Monopeltis_infuscata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis infuscata",NA,NA
"Monopeltis_jugularis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis jugularis",NA,NA
"Monopeltis_kabindae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis kabindae",NA,NA
"Monopeltis_leonhardi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis leonhardi",NA,NA
"Monopeltis_luandae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis luandae",NA,NA
"Monopeltis_perplexus","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis perplexus",NA,NA
"Monopeltis_remaclei","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis remaclei",NA,NA
"Monopeltis_rhodesiana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis rhodesiana",NA,NA
"Monopeltis_scalper","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis scalper",NA,NA
"Monopeltis_schoutedeni","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis schoutedeni",NA,NA
"Monopeltis_sphenorhynchus","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis sphenorhynchus",3,1509
"Monopeltis_vanderysti","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis vanderysti",NA,NA
"Monopeltis_welwitschii","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis welwitschii",NA,NA
"Monopeltis_zambezensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Monopeltis","Monopeltis","Monopeltis zambezensis",NA,NA
