"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Amphisbaena_octostegum","","","","","","","","","","","","","","","","",""
"Amphisbaena_pericensis","","","","","","","","","","","","","","","","",""
"Amphisbaena_persephone","","","","","","","","","","","","","","","","",""
"Amphisbaena_plumbea","","","","","","","","","","","","","","","","",""
"Amphisbaena_polygrammica","","","","","","","","","","","","","","","","",""
"Amphisbaena_polystegum","","FJ441721","","FJ441904","","FJ441781","","","","FJ441964","","","","","","FJ441841",""
"Amphisbaena_pretrei","","","","","","","","","","","","","","","","",""
"Amphisbaena_prunicolor","","","","","","","","","","","","","","","","",""
"Amphisbaena_ridleyi","","","","","","","","","","","","","","","","",""
"Amphisbaena_roberti","","FJ441711","","FJ441894","","FJ441771","","","","FJ441954","","","","","","FJ441831",""
"Amphisbaena_rozei","","","","","","","","","","","","","","","","",""
"Amphisbaena_sanctaeritae","","","","","","","","","","","","","","","","",""
"Amphisbaena_saxosa","","FJ441710","","FJ441893","","FJ441770","","","","FJ441953","","","","","","FJ441829",""
"Amphisbaena_schmidti","EU203655","EU203655","","FJ441864","","FJ441741","NC_006284","AY605475","NC_006284","FJ441924","NC_006284","","","","","FJ441801",""
"Amphisbaena_scutigerum","","","","","","","","","","","","","","","","",""
"Amphisbaena_silvestrii","","FJ441689","","FJ441872","","FJ441749","","","","FJ441932","","","","","","FJ441808",""
"Amphisbaena_slateri","","","","","","","","","","","","","","","","",""
"Amphisbaena_slevini","","","","","","","","","","","","","","","","",""
"Amphisbaena_spurelli","","","","","","","","","","","","","","","","",""
"Amphisbaena_steindachneri","","","","","","","","","","","","","","","","",""
"Amphisbaena_stejnegeri","","","","","","","","","","","","","","","","",""
"Amphisbaena_supernumeraria","","","","","","","","","","","","","","","","",""
"Amphisbaena_talisiae","","","","","","","","","","","","","","","","",""
"Amphisbaena_townsendi","","","","","","","","","","","","","","","","",""
"Amphisbaena_trachura","","","","","","","","","","","","","","","","",""
"Amphisbaena_tragorrhectes","","","","","","","","","","","","","","","","",""
"Amphisbaena_uroxena","","","","","","","","","","","","","","","","",""
"Amphisbaena_vanzolinii","","","","","","","","","","","","","","","","",""
"Amphisbaena_varia","","","","","","","","","","","","","","","","",""
"Amphisbaena_vermicularis","","FJ441686","","FJ441869","","FJ441746","","","","FJ441929","","","","","","FJ441806",""
"Amphisbaena_wiedi","","","","","","","","","","","","","","","","",""
"Amphisbaena_wuchereri","","","","","","","","","","","","","","","","",""
"Amphisbaena_xera","EU203656","EU203656","","","","AY662568","","","AY662541","AY662541","","","","","","AY662619",""
"Ancylocranium_barkeri","","","","","","","","","","","","","","","","",""
"Ancylocranium_ionidesi","","","","","","","","","","","","","","","","",""
"Ancylocranium_somalicum","","","","","","","","","","","","","","","","",""
"Baikia_africana","","","","","","","","","","","","","","","","",""
"Bipes_biporus","AY605481","AY605481","","HM160582","JN654815","AF039482","NC_006287","AY605481","U71335","NC_006287","NC_006287","JN568335","","JN880810","DQ119614","AY662616","DQ119632"
"Bipes_canaliculatus","EU203658","EU203658","EU203601","EU203608","","FJ518700","NC_006288","AY605482","NC_006288","NC_006288","NC_006288","EU203625","","JN880811","HQ876353","GU457999",""
"Bipes_tridactylus","AY605479","AY605479","","","","","NC_006286","AY605479","NC_006286","NC_006286","NC_006286","","","","","",""
"Blanus_alexandri","","","","","","","","","","","KJ584071","","","KJ584093","","",""
"Blanus_aporus","","","","","","","","","","","KJ584089","","","KJ584099","","",""
"Blanus_cinereus","NC_012433","NC_012433","","","","AY444019","NC_012433","NC_012433","NC_012433","DQ902265","EU443257","EU108015","","","","EU108523",""
"Blanus_mariae","","KJ624872","","","","","","","","","KJ624824","","","","","",""
"Blanus_mettetali","","EF036461","","","","","","","","","EF036462","","","","","",""
"Blanus_strauchi","EU203660","EU203660","EU203604","EU203611","","AY444024","","","","FJ518703","EF036463","EU203628","","KJ584097","EU203630","AY444050","EU203634"
