"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Eremias_multiocellata","DQ658793","HQ615624","","","","","HQ733872","NC_025304","NC_025304","NC_025304","NC_025304","","","","","",""
"Eremias_nigrocellata","","","","","","","","","","","","","","","","",""
"Eremias_nikolskii","","","","","","","","","","","","","","","","",""
"Eremias_novo","","","","","","","","","","","","","","","","",""
"Eremias_papenfussi","","","","","","","","","","","","","","","","",""
"Eremias_persica","FJ445378","HQ615645","","","","","HQ733941","FJ416286","","","KJ652839","","","","","",""
"Eremias_pleskei","AY035828","AY035838","","","","EF632259","","","","","","","","","","EF632214",""
"Eremias_przewalskii","NC_025929","HQ615607","","","","","HQ733949","NC_025929","KM507330","NC_025929","KM507330","","","","","",""
"Eremias_quadrifrons","","","","","","","","","","","","","","","","",""
"Eremias_regeli","","","","","","","","","","","","","","","","",""
"Eremias_scripta","","HQ615650","","","","","HQ733947","","","","","","","","","",""
"Eremias_strauchi","JQ690168","","","","","","","KF797813","","","","","","","","",""
"Eremias_stummeri","","","","","","","","","","","","","","","","",""
"Eremias_suphani","","","","","","","","KF797809","","","","","","","","",""
"Eremias_szczerbaki","","","","","","","","","","","","","","","","",""
"Eremias_velox","AF206604","AF206604","","","","","HQ733915","JQ690234","KM359148","KM359148","KM359148","","","","","KJ486177",""
"Eremias_vermiculata","NC_025320","HQ615632","","","","","HQ733869","NC_025320","KM104865","NC_025320","NC_025320","","","","","",""
"Eremias_yarkandensis","","","","","","","","","","","","","","","","",""
"Eremiascincus_antoniorum","","","","","","","","","","","","","","","","",""
"Eremiascincus_brongersmai","","","","","","","","","","","","","","","","",""
"Eremiascincus_butlerorum","","","","","","","","","","","","","","","","",""
"Eremiascincus_douglasi","HM852475","DQ915311","","","","KC575690","","","","","DQ915335","","","","","",""
"Eremiascincus_emigrans","","","","","","","","","","","","","","","","",""
"Eremiascincus_fasciolatus","AY308341","AY308192","","","","","","","","","","","","","","",""
"Eremiascincus_intermedius","","","","","","","","","","","","","","","","",""
"Eremiascincus_isolepis","AY169587","AY308221","","","","KC575693","","","","","AY169662","","","","","",""
"Eremiascincus_musivus","","","","","","","","","","","","","","","","",""
"Eremiascincus_pallidus","","","","","","","","","","","","","","","","",""
"Eremiascincus_pardalis","DQ915300","DQ915324","","","","KC575696","","","","","DQ915348","","","","","",""
"Eremiascincus_phantasmus","","","","","","","","","","","","","","","","",""
"Eremiascincus_richardsonii","AY169582","AY169619","","HQ655167","","HQ655204","","","","","AY169657","","","","","",""
"Eremiascincus_timorensis","","","","","","","","","","","","","","","","",""
"Eroticoscincus_graciloides","","","","","","","","","","","","","","","","",""
"Eublepharis_angramainyu","","","","","","","","","","","","","","","","",""
"Eublepharis_fuscus","","","","","","","","","","","","","","","","",""
"Eublepharis_hardwickii","","","","","","","","","","","","","","","","",""
"Eublepharis_macularius","AF090186","AB028762","","GU457864","JF795594","EU366458","","","AB308467","JX041350","","GU456020","EF534816","JN880834","JN568508","EF534776","EF534942"
"Eublepharis_turcmenicus","","","","","","","","","AF114248","AF114248","","","","","","AY662622",""
"Eugongylus_albofasciolatus","","","","","","","","AF373232","","KF130788","","","","","","KF130813",""
"Eugongylus_mentovarius","","","","","","","","","","","","","","","","",""
"Eugongylus_rufescens","AY218011","AY217961","","HQ655168","","HQ655205","","AY818812","","DQ675253","AY169642","JN568336","","JN880835","JN568485","JN654859",""
"Eugongylus_sulaensis","","","","","","","","","","","","","","","","",""
"Eugongylus_unilineatus","","","","","","","","","","","","","","","","",""
"Eulamprus_heatwolei","KC575656","KC575643","","","","","","","","","AY520462","","","","","",""
"Eulamprus_kosciuskoi","DQ915292","DQ915316","","","","KC575679","","","","","DQ915340","","","","","",""
"Eulamprus_leuraensis","","AF530224","","","","","","","","","GU046485","","","","","",""
"Eulamprus_quoyii","AY169585","AY169622","","","","KC575683","","","","","AY169660","","","","","",""
"Eulamprus_tympanum","KC575658","KC575645","","","","KC575687","","","","","KC575720","","","","","",""
"Euleptes_europaea","KC190935","","","","","KC191042","","","","JN393941","","","EF534848","","","EF534806","KC191142"
"Eumeces_algeriensis","AY308345","AY308195","","","","","","Z98041","","","","","","","","",""
"Eumeces_blythianus","","","","","","","","","","","","","","","","",""
"Eumeces_cholistanensis","","","","","","","","","","","","","","","","",""
"Eumeces_indothalensis","","","","","","","","","","","","","","","","",""
"Eumeces_schneideri","AY315506","JQ344269","","HM160586","","JQ344225","","JQ344289","AY607277","AY607277","JQ344301","","","","JQ344236","JQ344255",""
"Eumecia_anchietae","AY308367","AY308218","","","","","","","","","","","","","","",""
"Eumecia_johnstoni","","","","","","","","","","","","","","","","",""
"Eurolophosaurus_amathites","AF362525","DQ848742","","","","","DQ848753","DQ848731","","","","","","","","",""
"Eurolophosaurus_divaricatus","AF362529","DQ848741","","","","","DQ848771","DQ848714","","","","","KR707240","","","",""
"Eurolophosaurus_nanuzae","AF362537","DQ848744","","","","","DQ848757","DQ848735","","","","","","","","",""
"Eurydactylodes_agricolae","","GU460147","","","","JQ945560","","","","DQ533755","","","GU459749","","","JX024499","JQ945453"
"Eurydactylodes_occidentalis","","","","","","","","","","DQ533775","","","","","","JX024500",""
"Eurydactylodes_symmetricus","","","","","","","","","","DQ533743","","","","","","JX024501",""
"Eurydactylodes_vieillardi","","","","","","","","","","DQ533774","","","","","","JX024502",""
"Eurylepis_poonaensis","","","","","","","","","","","","","","","","",""
"Eurylepis_taeniolata","JQ344281","JQ344268","","HM160587","","JQ344226","","JQ344291","AY607276","AY607276","JQ344303","","","","JQ344237","JQ344256",""
"Euspondylus_acutirostris","","","","","","","","","","","","","","","","",""
"Euspondylus_auyanensis","","","","","","","","","","","","","","","","",""
"Euspondylus_caideni","","","","","","","","","","","","","","","","",""
"Euspondylus_guentheri","","","","","","","","","","","","","","","","",""
"Euspondylus_josyi","","","","","","","","","","","","","","","","",""
"Euspondylus_maculatus","","","","","","","","","","","","","","","","",""
"Euspondylus_monsfumus","","","","","","","","","","","","","","","","",""
"Euspondylus_nellycarrillae","","","","","","","","","","","","","","","","",""
"Euspondylus_oreades","","","","","","","","","","","","","","","","",""
"Euspondylus_rahmi","","","","","","","","","","","","","","","","",""
"Euspondylus_simonsii","","","","","","","","","","","","","","","","",""
"Euspondylus_spinalis","","","","","","","","","","","","","","","","",""
"Eutropis_andamanensis","","","","","","","","","","","","","","","","",""
"Eutropis_beddomii","JQ767970","JQ767965","","","","JQ767946","","","","KJ574683","","","","","KJ574796","",""
"Eutropis_bibronii","JQ767979","JQ767963","","","","JQ767947","","","","KJ574691","","","","","KJ574798","",""
"Eutropis_bontocensis","","","","","","","","","","KF235238","","","","","KJ574800","",""
"Eutropis_carinata","AY159044","AY159073","","","","JQ767941","","","","KJ574685","","","","","KJ574802","",""
"Eutropis_chapaensis","","","","","","","","","","","","","","","","",""
"Eutropis_clivicola","JQ767978","JQ767956","","","","JQ767945","","","","KJ574686","","","","","KJ574807","",""
"Eutropis_cumingi","DQ239218","DQ238896","","","","DQ238977","","DQ239137","","KF235410","","","","","KJ574814","",""
"Eutropis_darevskii","","","","","","","","","","","","","","","","",""
"Eutropis_dissimilis","AY159046","AY159075","","","","","","","","","","","","","","",""
"Eutropis_englei","","","","","","","","","","","","","","","","",""
"Eutropis_floweri","","","","","","","","","","","","","","","","",""
"Eutropis_gansi","","","","","","","","","","","","","","","","",""
"Eutropis_grandis","","","","","","","","","","KJ574693","","","","","KJ574816","",""
"Eutropis_indeprensa","AY159047","AY159076","","","","","","","","KF235403","","","","","KJ574847","",""
"Eutropis_innotata","","","","","","","","","","","","","","","","",""
"Eutropis_longicaudata","AY169570","DQ238898","","HQ655169","","EU366457","","JF689932","","KJ574695","AY169645","","","","KJ574830","",""
"Eutropis_macrophthalma","AY159048","AY159077","","","","","","","","","","","","","","",""
"Eutropis_macularia","DQ239217","AB057394","","KC345201","","DQ238976","","DQ239136","KC345083","KF235415","AF228556","","KC345254","KC345142","KJ574837","",""
"Eutropis_madaraszi","AY159051","AY159080","","","","","","","","","","","","","KJ574882","",""
"Eutropis_multicarinata","AY159052","AY159081","","","","DQ675394","","","","KF235414","","","","","KJ574874","DQ675339",""
"Eutropis_multifasciata","DQ239219","AY159088","","","","AY444029","KC016070","DQ239138","","JQ610816","JF498466","","","","JF498340","AY444055",""
"Eutropis_nagarjuni","JQ767972","JQ767952","","","","JQ767949","","","","KJ574754","","","","","KJ574861","",""
"Eutropis_novemcarinata","","","","","","","","","","KJ574721","","","","","KJ574862","",""
"Eutropis_quadratilobus","","","","","","","","","","","","","","","","",""
"Eutropis_quadricarinata","AY159060","AY159089","","","","","","","","KJ574722","","","","","KJ574863","",""
"Eutropis_rudis","DQ239216","DQ238894","","","","DQ238975","","DQ239135","","JQ610812","","","","","KJ574864","",""
"Eutropis_rugifera","AY159061","AY159093","","","","","","","","KJ574692","","","","","KJ574806","",""
"Eutropis_tammanna","","","","","","","","","","","","","","","","",""
"Eutropis_trivittata","JQ767971","JQ767951","","","","JQ767948","","","","KJ574732","","","","","KJ574872","",""
"Eutropis_tytleri","AY159045","AY159074","","","","","","","","","","","","","","",""
"Exila_nigropalmata","EU515211","","","","","","","EU515213","","","","","","","","",""
"Feylinia_currori","AY308369","AY308220","","","","","","","","","","","","","","",""
"Feylinia_elegans","","","","","","","","","","","","","","","","",""
"Feylinia_grandisquamis","DQ316879","AY217952","","","","AY217850","","DQ316871","","","","","","","","",""
"Feylinia_macrolepis","","","","","","","","","","","","","","","","",""
"Feylinia_polylepis","AY649120","EU164495","","GU457871","","AY818772","","FJ972225","AY662556","AY662556","","GU456027","","","JN568493","AY662637",""
"Fojia_bumui","","","","","","","","","","","","","","","","",""
"Furcifer_angeli","","","","","","","","","","","AF443274","","","","","",""
"Furcifer_antimena","","FJ717754","","","","HF570673","JQ909367","","","","HF570573","","","HF570862","","FJ746592",""
"Furcifer_balteatus","","HQ130529","","KC507656","","FJ984264","JQ909368","","AF448764","AF448764","FJ981757","","","HQ130620","","HQ130638",""
"Furcifer_belalandaensis","","","","","","FJ984270","","","AF448765","AF448765","FJ981760","","","","","FJ984199",""
"Furcifer_bifidus","","","","","","","JQ909369","","","","AF443272","","","","","",""
"Furcifer_campani","","HF570448","","","","HF570674","JQ909370","","AF448766","AF448766","AF443271","","","HF570863","","HF570771",""
"Furcifer_cephalolepis","","HF570449","","JQ073093","","FJ984266","KF604786","","FJ975155","FJ975155","FJ981758","","","HF570864","","FJ984194",""
"Furcifer_labordi","AF215138","AF215264","","","","FJ984265","","","AF448767","AF448767","AF443273","","","HF570865","","FJ984193",""
"Furcifer_lateralis","","HQ130531","","JQ073087","","HQ130552","JQ909372","","AF448768","AF448768","AF443267","","","HQ130623","","FJ984201",""
"Furcifer_major","","JQ908116","","","","","","","","JQ908361","JQ908438","","","","","JQ908633",""
"Furcifer_minor","","AF378380","","","","HF570675","","","","HF570503","AF443268","","","HF570866","","HF570772",""
"Furcifer_nicosiai","","HF570451","","","","HF570676","JQ909373","","","HF570504","HF570576","","","HF570867","","HF570773",""
"Furcifer_oustaleti","NC_008777","NC_008777","","","","HF570677","JQ909375","NC_008777","AF448769","AF448769","AB185326","","","HF570868","","HF570774",""
"Furcifer_pardalis","","HF570453","","","","HF570678","JQ909377","","FJ975157","FJ975157","AF443265","","","HF570869","","HF570775",""
"Furcifer_petteri","","HF570454","","","","HF570679","JQ909378","","","HF570507","AF443266","","","HF570870","","HF570776",""
"Furcifer_polleni","","HF570455","","JQ073094","","FJ984267","KF604789","","","FJ975156","FJ981759","","","HF570871","","FJ984195",""
"Furcifer_rhinoceratus","","HF570456","","","","HF570680","JQ909379","","","HF570508","HF570580","","","HF570872","","HF570777",""
"Furcifer_timoni","","HF570457","","KC507658","","HQ130550","JQ909380","","","HQ130653","HQ130576","","","HQ130621","","HQ130639",""
"Furcifer_tuzetae","","","","","","","","","","","","","","","","",""
"Furcifer_verrucosus","","HF570458","","","","HF570681","JQ909381","","AF448770","AF448770","AF443270","","","HF570873","","FJ984196",""
"Furcifer_viridis","","JQ908153","","","","","","","","JQ908313","JQ908417","","","","","JQ908590",""
"Furcifer_willsii","","HQ130530","","","","HQ130551","JQ909382","","","HQ130654","HQ130577","","","HQ130622","","HQ130640",""
"Gallotia_atlantica","Z48040","DQ298679","","JQ073130","","AF435104","KF003307","AY762378","","AY762534","","","","","","JQ073253",""
"Gallotia_auaritae","","","","","","","","","","","","","","","","",""
"Gallotia_bravoana","AJ272395","","","","","AF435103","","AJ272396","","","","","","","","",""
"Gallotia_caesaris","AF439943","DQ298684","","","","AY152006","KF003311","AF439948","","","","","","","","",""
"Gallotia_galloti","AF206587","AF206587","","JQ073131","","EF632260","KF003309","GQ142114","","","","EF151529","","","","JQ073254",""
"Gallotia_intermedia","AY151923","DQ298681","","","","AF435102","","AY151844","","","","","","","","",""
"Gallotia_simonyi","Z49751","AF101208","","","","AY152008","AF101216","Z49752","","","","","","","","",""
"Gallotia_stehlini","AF439944","AF149936","","JQ073132","","AF435109","KF003312","AF439949","","","","","","","","JQ073255",""
"Gambelia_copeii","","","","","","","","EU037382","GQ502765","GQ502765","","","","","","",""
"Gambelia_sila","","","","","","","","EU037370","","EU038401","","","","","","",""
"Gambelia_wislizenii","NC_012831","NC_012831","","HQ876217","JF806058","EU116682","AB218884","NC_012831","U82682","U82682","AB218884","EU108024","","JN880837","HQ876327","AY662600",""
"Garthia_gaudichaudii","KJ484230","","","","","HQ426536","","FJ985045","","JX041351","","","HQ426192","KJ484289","","HQ426281","HQ426454"
"Garthia_penai","","","","","","","","","","","","","","","","",""
"Gastropholis_echinata","","","","","","","","","","","","","","","","",""
"Gastropholis_prasina","","HQ605781","","","","HQ605877","","HQ605835","","","","","","","","HQ616543",""
"Gastropholis_tropidopholis","","","","","","","","","","","","","","","","",""
"Gastropholis_vittata","","HQ605780","","","","HQ605876","","HQ605834","","","","","","","","HQ616542",""
"Geckolepis_maculata","EU596610","","","EU596844","","JQ974212","KF604799","EU596693","","EU054234","JQ974264","","EU054187","","","EU054211","JQ945455"
"Geckolepis_polylepis","JQ974155","","","","","","","","","","","","","","","",""
"Geckolepis_typica","JQ974131","","","","","JQ974164","JQ909385","","","EU054233","JQ974288","","EU054185","","","EU054209",""
"Gehyra_angusticaudata","","","","","","","","","","","","","","","","",""
"Gehyra_australis","","","","","","JQ945563","","","","JN019081","","","JN019113","KJ025346","","JN019145","JQ945456"
"Gehyra_baliola","","","","","","","","","","GU328678","","","","KJ025393","","KJ025418",""
"Gehyra_barea","","","","","","","","","","JN393915","","","JN393993","KJ025309","","JN393960",""
"Gehyra_borroloola","","","","","","","","","","KJ025220","","","","KJ025328","","KJ025426",""
"Gehyra_brevipalmata","","","","","","","","","","JN393910","","","JN393988","","","JN393955",""
"Gehyra_butleri","","","","","","","","","","","","","","","","",""
"Gehyra_catenata","","","","","","","","","","KJ025196","","","","KJ025359","","",""
"Gehyra_dubia","","","","","","JQ945565","","","","JN393911","","","JN393990","KJ025325","","JN393957","JQ945458"
"Gehyra_fehlmanni","","","","","","","","","","JN393948","","","","","","JN393986",""
"Gehyra_fenestra","","","","","","","","","","","","","","","","",""
"Gehyra_georgpotthasti","","","","","","","","","","","","","","","","",""
"Gehyra_interstitialis","","","","","","","","","","","","","","","","",""
"Gehyra_kimberleyi","","","","","","","","","","","","","","","","",""
"Gehyra_koira","","","","","","","","","","GQ257786","","","","KJ025330","","KJ025415",""
"Gehyra_lacerata","","","","","","","","","","JN393947","","","","","","JN393985",""
"Gehyra_lazelli","","","","","","","","","","JQ319567","","","","KJ025396","","KJ025420",""
"Gehyra_leopoldi","","","","","","","","","","","","","","","","",""
"Gehyra_marginata","","JN689991","","","","","","","","JN393931","","","JN394009","","","JN393975",""
"Gehyra_membranacruralis","","","","","","","","","","KJ025193","","","","KJ025349","","KJ025419",""
"Gehyra_minuta","","","","","","","","","","KJ025264","","","","KJ025354","","KJ025421",""
"Gehyra_montium","","","","","","","","","","KJ025253","","","","KJ025384","","KJ025417",""
"Gehyra_moritzi","","","","","","","","","","","","","","","","",""
"Gehyra_multiporosa","","","","","","","","","","JX524089","","","","","","",""
"Gehyra_mutilata","DQ852699","AY217956","","","","AY217853","JQ909386","FJ830054","","JN393951","","","JN019114","KJ025357","","JN393962","FJ830328"
"Gehyra_nana","","","","","","JQ945567","","","","JN393920","","","JN393998","KJ025360","","JN393965","JQ945460"
"Gehyra_occidentalis","","","","","","","","","","JX524108","","","","KJ025370","","KJ025411",""
"Gehyra_oceanica","","JN689999","","","","","","","","JN393921","","","JN394002","KJ025392","","JN393968",""
"Gehyra_pamela","","","","","","","","","","KJ025204","","","","KJ025358","","",""
"Gehyra_papuana","","","","","","","","","","","","","","","","",""
"Gehyra_pilbara","","","","","","","","","","JN393926","","","JN394004","KJ025398","","JN393970",""
"Gehyra_pulingka","","","","","","","","","","","","","","","","",""
"Gehyra_punctata","","","","","","","","","","JX947074","","","","KJ025390","","KJ025425",""
"Gehyra_purpurascens","","","","","","","","","","KJ025298","","","","KJ025381","","KJ025424",""
"Gehyra_robusta","","","","","","","","","","JN393928","","","JN394006","KJ025394","","JN393972",""
"Gehyra_serraticauda","","","","","","","","","","","","","","","","",""
"Gehyra_spheniscus","","","","","","","","","","JX524114","","","","","","",""
"Gehyra_variegata","AF090185","","","","","FJ855460","","","AY369026","AY369026","","","JN393994","KJ025348","","FJ855439","JQ945461"
"Gehyra_versicolor","","","","","","","","","","","","","","","","",""
"Gehyra_vorax","","JN690001","","","","","","","","","","","","","","",""
"Gehyra_xenopus","","","","","","","","","","JN393932","","","JN394010","KJ025345","","JN393976",""
"Gekko_adleri","","KC700624","","","","","","","","KP205389","","","","","","",""
"Gekko_albofasciolatus","","","","","","","","","","","","","","","","",""
"Gekko_athymus","","","","","","","","","","JN019075","","","JQ173543","","","JN019139",""
"Gekko_auriverrucosus","","","","","","","EU417719","GQ857615","","JN019062","","","JN019096","","","JN019127",""
"Gekko_badenii","","","","","","JQ945569","","","","JN019065","","","JN019099","","","JN019130","JQ945462"
"Gekko_canaensis","","","","","","","","","","","","","","","","",""
"Gekko_canhi","","","","","","","","","","","","","","","","",""
"Gekko_carusadensis","","","","","","","","","","JQ173406","","","JQ173546","","","",""
"Gekko_chinensis","","KC765079","","","","JQ945571","HM802954","EU417676","","JN019058","","","JQ173547","","","JN019123","JQ945464"
"Gekko_coi","","","","","","","","","","JN710491","","","JN710502","","","",""
"Gekko_crombota","","","","","","","","","","FJ487876","","","JQ173549","","","",""
"Gekko_ernstkelleri","","","","","","","","","","JQ173415","","","JQ173552","","","",""
"Gekko_gecko","HM370130","HM370130","","EU402614","EU402669","EU366455","HM370130","HM370130","AF114249","AF114249","HM370130","EU390898","JN019087","JN880838","HQ876378","AY662625","EF534981"
"Gekko_gigante","","","","","","","","","","JX678788","","","JQ173555","","","",""
"Gekko_grossmanni","","","","","","","","","","JN019064","","","JN019098","","","JN019129",""
"Gekko_hokouensis","AF323511","","","","","","EU417722","EU417691","","JN019060","","","JQ173556","","","JN019125",""
"Gekko_japonicus","AF318271","","","","","","EU417728","GQ857616","","JN019059","","","JQ173558","","","JN019124",""
"Gekko_kikuchii","KF258153","","","","","","","","","KJ018155","","","KJ018160","","KJ009207","",""
"Gekko_lauhachindai","","","","","","","","","","","","","","","","",""
"Gekko_melli","","JX624321","","","","","","","","","","","","","","",""
"Gekko_mindorensis","","","","","","JQ945572","","","","JN019076","","","JQ173593","","KJ009214","JN019140","JQ945465"
"Gekko_monarchus","","","","","","JQ945573","","","","JN019078","","","JQ173605","","","JN019142","JQ945466"
"Gekko_nutaphandi","","","","","","","","","","","","","","","","",""
"Gekko_palawanensis","","","","","","","","","","JQ173525","","","","","","",""
"Gekko_palmatus","","KC710237","","","","","","","","KP205390","","","","","","",""
"Gekko_petricolus","","","","","","","","","","JN019066","","","JN019101","","","JN019131",""
"Gekko_porosus","","","","","","","","","","FJ487881","","","JQ173612","","","",""
"Gekko_reevesii","","","","","","","","","","","","","","","","",""
"Gekko_remotus","","","","","","","","","","","","","","","","",""
"Gekko_romblon","","","","","","","","","","JN710497","","","JN710506","","","",""
"Gekko_rossi","","","","","","","","","","FJ487873","","","JQ173614","","","",""
"Gekko_russelltraini","","","","","","","","","","","","","","","","",""
"Gekko_scabridus","KF258132","","","","","","HM802950","KF258112","","","","","","","","",""
"Gekko_scientiadventura","","","","","","","","","","KP205392","","","","","","",""
"Gekko_shibatai","","","","","","","","","","","","","","","","",""
"Gekko_siamensis","","","","","","","","","","","","","","","","",""
"Gekko_similignum","","","","","","","","","","","","","","","","",""
"Gekko_smithii","","","","","","","","","","JN019056","","","JQ173617","","","JN019122",""
"Gekko_subpalmatus","","JX624323","","","","JQ945574","EU417715","EU417698","","JN019063","","","JN019097","","","JN019128","JQ945467"
"Gekko_swinhonis","NC_018050","NC_018050","","","","","HM802944","NC_018050","NC_018050","JN019061","JQ906550","","JN019095","","","JN019126",""
"Gekko_taibaiensis","","","","","","","","","","","","","","","","",""
"Gekko_takouensis","","","","","","","","","","","","","","","","",""
"Gekko_tawaensis","","","","","","","","","","","","","","","","",""
"Gekko_taylori","","","","","","","","","","","","","","","","",""
"Gekko_truongi","","","","","","","","","","KP205398","","","","","","",""
"Gekko_verreauxi","","","","","","","","","","","","","","","","",""
"Gekko_vertebralis","","","","","","","","","","","","","","","","",""
"Gekko_vietnamensis","","","","","","","","","","","","","","","","",""
"Gekko_vittatus","NC_008772","NC_008772","","","","JQ945575","AB178897","NC_008772","NC_008772","JN019073","AB178897","","JQ437942","","","JN019138","JQ945468"
"Gekko_wenxianensis","","","","","","","","","","","","","","","","",""
"Gekko_yakuensis","","","","","","","","","","","","","","","","",""
"Geomyersia_coggeri","","","","","","","","","","","","","","","","",""
"Geomyersia_glabra","","","","","","","","","","","","","","","","",""
"Geoscincus_haraldmeieri","","","","","","","","","","","","","","","","",""
"Gerrhonotus_farri","","","","","","","","","","","","","","","","",""
"Gerrhonotus_infernalis","","","","JQ845043","JQ844996","","","","","AY742920","JN547343","JQ844950","","","","",""
"Gerrhonotus_liocephalus","AF056613","","","","","","","AF056598","AF085614","AY742924","JN547359","","","","","",""
"Gerrhonotus_lugoi","","","","","","","","","","","","","","","","",""
"Gerrhonotus_ophiurus","","","","","","","","","","","","","","","","",""
"Gerrhonotus_parvus","","","","","","","","","","AY742918","","","","","","",""
"Gerrhosaurus_auritus","","","","","","","","","","","","","","","","",""
"Gerrhosaurus_bulsi","","KF717383","","","","","","","","KF717428","","","","KF717467","","",""
"Gerrhosaurus_flavigularis","AJ416920","KF717386","","","","DQ100151","","DQ090883","","KF717436","","EU636221","","KC954129","","",""
"Gerrhosaurus_multilineatus","AY167351","AY167368","","","","","","AY167385","","AY167402","","","","KC954131","","",""
"Gerrhosaurus_nigrolineatus","HQ167134","AY217948","","","","EF632250","","EU116512","","HQ167023","KC621627","EU108025","","HQ167574","","EF632205",""
"Gerrhosaurus_skoogi","AY167347","AY167364","","","","","","AY167381","","AY167398","","","","KC954127","","",""
"Gerrhosaurus_typicus","AF236039","AY167365","","","","","","AY167382","","KF717452","","","","","","",""
"Glaphyromorphus_clandestinus","","","","","","","","","","","","","","","","",""
"Glaphyromorphus_cracens","DQ915285","DQ915309","","","","KC575688","","","","","DQ915333","","","","","",""
"Glaphyromorphus_crassicaudus","","","","","","KC575689","","","","","","","","","","",""
"Glaphyromorphus_darwiniensis","DQ915286","DQ915310","","","","","","","","","DQ915334","","","","","",""
"Glaphyromorphus_fuscicaudis","HM852477","HM852504","","","","KC575691","","","","","DQ915337","","","","","",""
"Glaphyromorphus_mjobergi","DQ915296","DQ915320","","","","KC575694","","","","","DQ915344","","","","","",""
"Glaphyromorphus_nigricaudis","","KC575646","","","","KC575695","","","","","","","","","","",""
"Glaphyromorphus_nyanchupinta","","","","","","","","","","","","","","","","",""
"Glaphyromorphus_othelarrni","","","","","","","","","","","","","","","","",""
"Glaphyromorphus_pumilus","DQ915301","DQ915325","","","","KC575697","","","","","DQ915349","","","","","",""
"Glaphyromorphus_punctulatus","DQ915302","DQ915326","","","","KC575698","","","","","DQ915350","","","","","",""
"Goggia_braacki","","","","","","","","","","KM073689","","","KM073614","","","KM073528",""
"Goggia_essexi","","","","","","","","","","","","","","","","",""
"Goggia_gemmula","","","","","","","","","","","","","","","","",""
"Goggia_hewitti","","","","","","","","","","","","","","","","",""
"Goggia_hexapora","","","","","","","","","","","","","","","","",""
"Goggia_lineata","AY763261","AY763274","","","","AY172930","","","","JX041353","","","JQ945378","","","JQ945310","JQ945469"
"Goggia_microlepidota","","","","","","","","","","","","","","","","",""
"Goggia_rupicola","","","","","","","","","","","","","","","","",""
"Gonatodes_albogularis","GU139932","EF564024","","GU457866","GU457897","GU139826","","","","JX041354","","GU139878","EF534839","JN880840","HQ876380","EF534797","EF564102"
"Gonatodes_alexandermendesi","GU139912","","","","","GU139805","","","","JX041355","","GU139859","","","","",""
"Gonatodes_annularis","GU139921","JQ639489","","","","GU139815","","JQ639547","","JX041356","","GU139868","EF534835","","","EF534794","EF564115"
"Gonatodes_antillensis","GU139933","","","","","GU139847","","","","","","GU139880","","","","",""
"Gonatodes_astralis","GU139927","","","","","GU139824","","","","","","GU139876","","","","",""
"Gonatodes_atricucullaris","","","","","","","","","","","","","","","","",""
"Gonatodes_caudiscutatus","","EF564011","","","","EF534920","","","","JX041357","","","EF534836","","","EF534795","EF534962"
"Gonatodes_ceciliae","GU139934","EF564035","","","","GU139828","","","","JX041358","","GU139881","HQ426193","","","JF416914","EF564114"
"Gonatodes_concinnatus","GU139937","EF564013","","","","GU139831","","","","JX041359","","GU139884","HQ426194","","","HQ426282","EF564096"
"Gonatodes_daudini","GU139938","EF564034","","","","GU139832","","","","JX041360","","GU139885","EF534834","","","EF534793","EF534960"
"Gonatodes_eladioi","","EF564025","","","","EF564081","","","","","","","HQ426195","","","HQ426283","EF564107"
"Gonatodes_falconensis","GU139935","","","","","GU139829","","","","","","GU139882","","","","",""
"Gonatodes_fuscus","","","","","","","","","","","","","","","","",""
"Gonatodes_hasemani","GU139940","EF564039","","","","GU139834","","","","","","GU139887","EF534837","","","","EF564099"
"Gonatodes_humeralis","GU139942","JQ639545","","","","EU435263","","JQ639603","","JX041361","DQ104163","GU139889","EF534838","","","EU435218","EF564108"
"Gonatodes_infernalis","GU139922","","","","","GU139819","","","","","","GU139872","","","","",""
"Gonatodes_lichenosus","","","","","","","","","","","","","","","","",""
"Gonatodes_ligiae","","","","","","","","","","","","","","","","",""
"Gonatodes_nascimentoi","","","","","","","","","","","","","","","","",""
"Gonatodes_naufragus","","","","","","","","","","","","","","","","",""
"Gonatodes_ocellatus","GU139945","EF564014","","","","GU139839","","","","JX041362","","GU139892","HQ426196","","","HQ426284","EF564098"
"Gonatodes_petersi","GU139947","","","","","GU139841","","","","","","GU139894","","","","",""
"Gonatodes_purpurogularis","GU139936","","","","","GU139830","","","","","","GU139883","","","","",""
"Gonatodes_riveroi","","","","","","","","","","","","","","","","",""
"Gonatodes_rozei","","","","","","","","","","","","","","","","",""
"Gonatodes_seigliei","GU139943","","","","","GU139837","","","","","","GU139890","","","","",""
"Gonatodes_superciliaris","GU139904","","","","","","","","","","","","","","","",""
"Gonatodes_taniae","GU139944","","","","","GU139838","","","","","","GU139891","","","","",""
"Gonatodes_tapajonicus","","","","","","","","","","","","","","","","",""
"Gonatodes_timidus","","","","","","","","","","","","","","","","",""
"Gonatodes_vittatus","GU139946","EF564032","","","","GU139840","","","","JX041363","","GU139893","","","","HQ426285","EF564112"
"Gongylomorphus_bojerii","AY649121","AY308223","","","","AY818799","","FJ790982","","","","","","","","",""
